matrix,distance_metric,linkage,K,mean_ari,median_ari,std_ari,p05_ari,p95_ari,valid_iterations
B_LOG,euclidean,complete,4,0.098075,0.087476,0.074113,-0.000599,0.23116,100
B_LOG,euclidean,complete,5,0.143749,0.13782,0.068128,0.056719,0.264748,100
B_LOG,euclidean,complete,6,0.156239,0.147773,0.070174,0.066031,0.297597,100
B_LOG,euclidean,complete,7,0.178857,0.177092,0.062498,0.079354,0.268953,100
B_LOG,euclidean,average,2,0.79,1.0,0.407308,0.0,1.0,100
B_LOG,euclidean,average,3,0.872054,1.0,0.205307,0.665802,1.0,100
B_LOG,euclidean,average,4,0.781149,0.799065,0.226047,0.392983,1.0,100
B_LOG,euclidean,average,5,0.693793,0.74821,0.190846,0.396054,1.0,100
B_LOG,euclidean,average,6,0.635024,0.637287,0.170614,0.390493,0.887924,100
B_LOG,euclidean,average,7,0.673641,0.663042,0.155987,0.427064,0.922087,100
B_LOG,manhattan,complete,2,0.120528,0.075366,0.119561,-0.007868,0.358832,100
B_LOG,manhattan,complete,3,0.138704,0.144923,0.07609,0.004775,0.25421,100
B_LOG,manhattan,complete,4,0.161145,0.171673,0.060276,0.04844,0.245912,100
B_LOG,manhattan,complete,5,0.172468,0.184441,0.055604,0.078196,0.24886,100
B_LOG,manhattan,complete,6,0.186503,0.191919,0.044121,0.114016,0.25032,100
B_LOG,manhattan,complete,7,0.196599,0.201455,0.038348,0.123105,0.249166,100
B_LOG,manhattan,average,2,0.86,1.0,0.346987,0.0,1.0,100
B_LOG,manhattan,average,3,0.77631,0.798752,0.237143,0.398446,1.0,100
B_LOG,manhattan,average,4,0.721289,0.747884,0.183467,0.397716,1.0,100
B_LOG,manhattan,average,5,0.662343,0.66416,0.201661,0.27954,1.0,100
B_LOG,manhattan,average,6,0.620029,0.661608,0.158837,0.327456,0.854823,100
B_LOG,manhattan,average,7,0.589553,0.581901,0.148875,0.342476,0.832655,100
