matrix_name,K,n_samples,n_features,inertia,silhouette_score,calinski_harabasz_score,davies_bouldin_score,cluster_sizes,min_cluster_size,max_cluster_size,random_seed,n_init,sklearn_version
B_RAW,2,967,24,20678.467983998657,0.11346620780020218,118.04541793570907,2.7403874519931564,"{""0"": 413, ""1"": 554}",413,554,42,25,1.4.1.post1
B_RAW,3,967,24,18973.260902584174,0.0970384664708392,107.58004411758412,2.42148026953682,"{""0"": 365, ""1"": 261, ""2"": 341}",261,365,42,25,1.4.1.post1
B_RAW,4,967,24,18108.548212396265,0.08580287393362343,90.39509985125366,2.522365778302578,"{""0"": 285, ""1"": 297, ""2"": 147, ""3"": 238}",147,297,42,25,1.4.1.post1
B_RAW,5,967,24,17436.518721552,0.08267356975741512,79.60541147190642,2.487650887665131,"{""0"": 37, ""1"": 222, ""2"": 273, ""3"": 194, ""4"": 241}",37,273,42,25,1.4.1.post1
B_RAW,6,967,24,16947.154746253513,0.06836709054045353,71.00510237779584,2.596800386866111,"{""0"": 36, ""1"": 178, ""2"": 188, ""3"": 99, ""4"": 234, ""5"": 232}",36,234,42,25,1.4.1.post1
B_RAW,7,967,24,16521.34059206409,0.07122835185282995,64.75657948627065,2.594226071688053,"{""0"": 37, ""1"": 158, ""2"": 185, ""3"": 141, ""4"": 147, ""5"": 197, ""6"": 102}",37,197,42,25,1.4.1.post1
B_RAW,8,967,24,16149.900909978413,0.05583166114235394,59.87402527872538,2.563376704986617,"{""0"": 130, ""1"": 97, ""2"": 113, ""3"": 124, ""4"": 157, ""5"": 35, ""6"": 138, ""7"": 173}",35,173,42,25,1.4.1.post1
B_RAW,9,967,24,15805.621946500938,0.0642446765275922,56.08351097520417,2.4822537055393368,"{""0"": 125, ""1"": 109, ""2"": 134, ""3"": 120, ""4"": 87, ""5"": 180, ""6"": 34, ""7"": 154, ""8"": 24}",24,180,42,25,1.4.1.post1
B_RAW,10,967,24,15478.292398581465,0.059562388448827844,53.101825045388544,2.425325372512261,"{""0"": 140, ""1"": 156, ""2"": 86, ""3"": 123, ""4"": 121, ""5"": 26, ""6"": 99, ""7"": 39, ""8"": 143, ""9"": 34}",26,156,42,25,1.4.1.post1
