matrix_name,K,n_samples,n_features,inertia,silhouette_score,calinski_harabasz_score,davies_bouldin_score,cluster_sizes,min_cluster_size,max_cluster_size,random_seed,n_init,sklearn_version
B_LOG,2,967,24,20400.34779815052,0.11250446505887823,132.81069526816606,2.624184301529451,"{""0"": 462, ""1"": 505}",462,505,42,25,1.4.1.post1
B_LOG,3,967,24,18740.023617139144,0.10049562896882669,114.91792435999662,2.3954923126046164,"{""0"": 325, ""1"": 288, ""2"": 354}",288,354,42,25,1.4.1.post1
B_LOG,4,967,24,17811.51870302516,0.08729351864209474,97.25563132551513,2.5011786422499855,"{""0"": 196, ""1"": 260, ""2"": 237, ""3"": 274}",196,274,42,25,1.4.1.post1
B_LOG,5,967,24,17221.747549693006,0.08552960930845493,83.59742297607332,2.4322423458642106,"{""0"": 43, ""1"": 237, ""2"": 213, ""3"": 226, ""4"": 248}",43,248,42,25,1.4.1.post1
B_LOG,6,967,24,16714.32779806942,0.0740807841251553,74.67149216465776,2.5438311132599742,"{""0"": 201, ""1"": 180, ""2"": 199, ""3"": 231, ""4"": 115, ""5"": 41}",41,231,42,25,1.4.1.post1
B_LOG,7,967,24,16285.753349815473,0.06892661409866446,68.00787413632777,2.465534027058259,"{""0"": 130, ""1"": 147, ""2"": 40, ""3"": 113, ""4"": 143, ""5"": 182, ""6"": 212}",40,212,42,25,1.4.1.post1
B_LOG,8,967,24,15921.578313179765,0.06622069154937102,62.69728738312592,2.5642014013759935,"{""0"": 137, ""1"": 141, ""2"": 39, ""3"": 111, ""4"": 144, ""5"": 126, ""6"": 147, ""7"": 122}",39,147,42,25,1.4.1.post1
B_LOG,9,967,24,15659.991481536481,0.05974502503433024,57.71867891190739,2.6157938715903097,"{""0"": 116, ""1"": 111, ""2"": 109, ""3"": 94, ""4"": 37, ""5"": 83, ""6"": 131, ""7"": 141, ""8"": 145}",37,145,42,25,1.4.1.post1
B_LOG,10,967,24,15372.463157512984,0.0592492356349559,54.19943065601623,2.533231983171139,"{""0"": 123, ""1"": 39, ""2"": 81, ""3"": 56, ""4"": 113, ""5"": 98, ""6"": 114, ""7"": 139, ""8"": 77, ""9"": 127}",39,139,42,25,1.4.1.post1
