matrix_name,N,number_of_features,K,resampling_fraction,number_of_resamples,mean_ARI,median_ARI,SD_ARI,min_ARI,max_ARI,ARI_5th_percentile,ARI_25th_percentile,ARI_75th_percentile,ARI_95th_percentile,mean_Jaccard_overall,median_Jaccard_overall,pac_01_09,min_cluster_proportion,max_cluster_proportion,max_min_cluster_ratio,sd_cluster_proportions,normalized_entropy,seed_reference,seed_base_resample,sklearn_version
B_LOG,967,24,2,0.8,200,0.8424433485520049,0.903973962865765,0.1229338266828514,0.5604659917980114,1.0,0.6240556630364648,0.7176300648393147,0.9387890692896738,0.9845162083267808,0.9205871946650587,0.95128173097785,0.22538597742050825,0.47776628748707345,0.5222337125129266,1.093073593073593,0.02223371251292658,0.9985731716774691,42,10000,1.4.1.post1
B_LOG,967,24,3,0.8,200,0.7833111408444496,0.9134498920651877,0.23722673078926565,0.2483044961822525,0.9922684896007874,0.2823794461128902,0.6025007049655852,0.9543087928639711,0.9731558209776998,0.8406503142220416,0.9429310344827586,0.3219600865839794,0.29782833505687695,0.36608066184074456,1.2291666666666665,0.027932043543444175,0.9967854079725177,42,10000,1.4.1.post1
B_LOG,967,24,4,0.8,200,0.7936558109896724,0.7902229223734085,0.08563547497211532,0.6077661413575468,0.9622244007770681,0.657702351398557,0.7232004089439793,0.8648578127007454,0.9281213176674701,0.8395783279244128,0.8426249103514224,0.22627665337075886,0.20268872802481902,0.28335056876938985,1.3979591836734693,0.030540662590923928,0.9944710958118174,42,10000,1.4.1.post1
B_LOG,967,24,5,0.8,200,0.6937428728690445,0.6753981028652143,0.16820399597690744,0.391788345330181,0.9520848221907194,0.4624310830295703,0.5332024330105603,0.8631846042977984,0.9302429321744925,0.7128122002526633,0.7863751739949234,0.2881443751458589,0.04446742502585315,0.2564632885211996,5.767441860465117,0.07868769198916926,0.9351261786431555,42,10000,1.4.1.post1
B_LOG,967,24,6,0.8,200,0.6544796259677065,0.6583083231688621,0.12975590106924043,0.3855865351941126,0.9307297413438531,0.47274586590384604,0.5456076189006177,0.756382947404749,0.8625229918931623,0.7065039195695565,0.764375413086583,0.30663446530538835,0.04239917269906929,0.23888314374353672,5.634146341463415,0.06651293004638908,0.9454772771058008,42,10000,1.4.1.post1
B_LOG,967,24,7,0.8,200,0.5866398061063266,0.5559384979786749,0.13933225520161294,0.33531883379829286,0.9561768077516141,0.39002515227694495,0.4943167472058775,0.6645547031963924,0.8855835060245137,0.6507013043572675,0.6719738594738596,0.29232584180653065,0.04136504653567735,0.21923474663908996,5.3,0.052163523134387664,0.9602058121047538,42,10000,1.4.1.post1
B_LOG,967,24,8,0.8,200,0.5922555514674676,0.5896531593514556,0.12151877377855008,0.3375204199107574,0.9359181344789641,0.40544341979544396,0.49382166861321986,0.683211004616677,0.796312476988509,0.6643160616743441,0.6941609977324263,0.2552557374732637,0.04033092037228542,0.15201654601861428,3.7692307692307696,0.03412395992698289,0.9773087061901049,42,10000,1.4.1.post1
B_LOG,967,24,9,0.8,200,0.5113764454633564,0.5007760321332821,0.07783861688801084,0.33550699894151914,0.7835347960557081,0.40123898900733124,0.45767053165146976,0.5627054731533706,0.641126068183889,0.5880670291513762,0.5714285714285714,0.24545616097254963,0.038262668045501554,0.1499482936918304,3.918918918918919,0.03255667979038914,0.9772264715129519,42,10000,1.4.1.post1
B_LOG,967,24,10,0.8,200,0.5133435420544428,0.5088634745820315,0.08030145144346369,0.3415954318259134,0.7529917045369579,0.38456084447070893,0.4636507842724076,0.5625332221194548,0.6509758725651976,0.5731677935700115,0.5759222661396575,0.23483442205621963,0.04033092037228542,0.1437435367114788,3.5641025641025643,0.03201802235332366,0.9755580639056975,42,10000,1.4.1.post1
