matrix_name,N,number_of_features,K,resampling_fraction,number_of_resamples,mean_ARI,median_ARI,SD_ARI,min_ARI,max_ARI,ARI_5th_percentile,ARI_25th_percentile,ARI_75th_percentile,ARI_95th_percentile,mean_Jaccard_overall,median_Jaccard_overall,pac_01_09,min_cluster_proportion,max_cluster_proportion,max_min_cluster_ratio,sd_cluster_proportions,normalized_entropy,seed_reference,seed_base_resample,sklearn_version
A_RAW,4482,19,2,0.8,200,0.9648726079861888,0.9678942076874044,0.01901947151742405,0.8778558453806052,0.9922021326592126,0.9308631130139557,0.9558511461739625,0.980009725485558,0.9866516068867414,0.9822982786160575,0.9841375486687429,0.053790220141826946,0.4569388665774208,0.5430611334225792,1.1884765625,0.04306113342257922,0.9946430995288639,42,10000,1.4.1.post1
A_RAW,4482,19,3,0.8,200,0.828392524580419,0.8207450963591951,0.12558378932961853,0.5507489964103587,0.9848531099714416,0.6508413384919354,0.7208124017247381,0.9565248717568117,0.9735864474942104,0.8812926953978657,0.8984845388648982,0.19052619997799583,0.28424810352521196,0.4120928157072735,1.4497645211930925,0.05625233954976772,0.9874247030368853,42,10000,1.4.1.post1
A_RAW,4482,19,4,0.8,200,0.7319637556697802,0.7624162010613147,0.15455332403266378,0.22776086154026634,0.9745991980594413,0.5214763441495786,0.6225393634530856,0.8577176266583271,0.9427251209876495,0.7464521911491717,0.8065024162708734,0.32102099398885786,0.107318161535029,0.3891120035698349,3.625779625779626,0.09996315838345281,0.9383409959760032,42,10000,1.4.1.post1
A_RAW,4482,19,5,0.8,200,0.5132120237830482,0.37457832314059447,0.19368012604836468,0.29820290318766585,0.844061895547895,0.31247095237930883,0.3493177864800798,0.7318319046998409,0.8085622376859525,0.5710398748489763,0.6136411263916175,0.3753213110490993,0.04529228023203927,0.2989736724676484,6.600985221674877,0.09582214237030395,0.9137926699239622,42,10000,1.4.1.post1
A_RAW,4482,19,6,0.8,200,0.7559401775315852,0.814423380785507,0.1618606302406035,0.38275666708124806,0.958928860609282,0.4387468055875182,0.6282891796337982,0.8830725022482688,0.9374220413668412,0.7951611062003383,0.8585141589566672,0.244786509436793,0.0031236055332440876,0.27242302543507363,87.21428571428571,0.09020696980030429,0.8829018345530744,42,10000,1.4.1.post1
A_RAW,4482,19,7,0.8,200,0.6757225580191786,0.679912327522083,0.16342595560818585,0.362470903612952,0.9623073113713833,0.44470550684671545,0.5253907775536992,0.8245196269349382,0.9248145584154701,0.745618061442343,0.7897035129722486,0.26804092777627747,0.0031236055332440876,0.2251227130745203,72.07142857142857,0.06610412504267915,0.916537889132769,42,10000,1.4.1.post1
A_RAW,4482,19,8,0.8,200,0.6758330799840273,0.6924577301031372,0.15292799677033855,0.34928623447022517,0.9256823061433209,0.46011896081145837,0.5265600907565563,0.8034974135489189,0.891988551063057,0.7266137269504938,0.7762706814486762,0.2489272961862754,0.0029004908522980814,0.18674698795180722,64.38461538461537,0.05726215031736081,0.9262279143760266,42,10000,1.4.1.post1
A_RAW,4482,19,9,0.8,200,0.6754304947388108,0.6963734926435887,0.11633212112155131,0.39835435264973856,0.9123910365295832,0.46618229855771415,0.5811708477403197,0.7612310071949081,0.8462431975449128,0.7392256451572122,0.7777777777777778,0.22639301467278783,0.0031236055332440876,0.18652387327086123,59.714285714285715,0.06650331371741233,0.8922462963532573,42,10000,1.4.1.post1
A_RAW,4482,19,10,0.8,200,0.6857010107186451,0.6852319531252136,0.1406582067004454,0.3635484792539309,0.9189302593948248,0.4639095803535606,0.5607249121548941,0.8130496695352851,0.8788125821390104,0.771542470518629,0.8197625361620058,0.18520518898590732,0.0029004908522980814,0.18875502008032127,65.07692307692307,0.06318155531304602,0.8927996713207277,42,10000,1.4.1.post1
A_LOG,4482,19,2,0.8,200,0.9505853042626805,0.9547643951777509,0.02924544104897339,0.8081902404663039,0.9944274257525397,0.9061611204393324,0.9403694059042953,0.9689940725447184,0.9833289742691818,0.9752862853074646,0.9775463814811782,0.07663456056650764,0.4959839357429719,0.5040160642570282,1.0161943319838058,0.004016064257028135,0.9999534617004923,42,10000,1.4.1.post1
A_LOG,4482,19,3,0.8,200,0.83251414741108,0.8623028317441214,0.09511222438153465,0.6443368170638172,0.9797409080151902,0.665189099165167,0.7594384779863544,0.8987840080099895,0.9582967890243657,0.8813687270411524,0.9036074740861975,0.23375441333853433,0.2958500669344043,0.38107987505577867,1.2880844645550527,0.035543692955537574,0.9948862726969008,42,10000,1.4.1.post1
A_LOG,4482,19,4,0.8,200,0.9200912947670409,0.9346925969850803,0.052939858468193685,0.7300570034901052,0.9825632282115222,0.7731764851944026,0.9087070028190433,0.9530665304295718,0.9693563658106447,0.9371409598710619,0.9493155870792662,0.08930696832398155,0.17603748326639893,0.3373493975903614,1.9163498098859315,0.06334502419928949,0.9768895087051105,42,10000,1.4.1.post1
A_LOG,4482,19,5,0.8,200,0.869198140377674,0.9083077564933999,0.09700244616600308,0.5949293974325133,0.9556538237246046,0.6249202558369341,0.8591133394100049,0.9286394642517428,0.9430993132950064,0.8946472208417537,0.9228424753564419,0.15184885128174352,0.13833110218652386,0.2469879518072289,1.785483870967742,0.04378931284220002,0.9846500194987271,42,10000,1.4.1.post1
A_LOG,4482,19,6,0.8,200,0.6616518102174928,0.547054844976955,0.18646494347178533,0.3651964782369178,0.9454931887638779,0.4236158294184546,0.5034016494054329,0.8713025108125454,0.9182915479733296,0.7152325085001872,0.7676502944412089,0.27197167461817745,0.12561356537260152,0.20883534136546184,1.6625222024866784,0.030808143949439204,0.9904051057987027,42,10000,1.4.1.post1
A_LOG,4482,19,7,0.8,200,0.7235690603768742,0.7125815191601303,0.10962130459119541,0.4402020685364975,0.9400422061015818,0.5621988039444922,0.6402080640108221,0.8262843635149001,0.9014770745725078,0.7734476546032981,0.7931280436814403,0.17547333993458758,0.06001784917447568,0.17916108879964301,2.9851301115241635,0.03739754894305126,0.9792287298209743,42,10000,1.4.1.post1
A_LOG,4482,19,8,0.8,200,0.8373290073539339,0.8486510543106425,0.05517636507523196,0.49171591177500534,0.9188703241845738,0.7523663846317465,0.8131204059394793,0.8747923264947373,0.9010701370051325,0.8581884820569118,0.8778489208633093,0.1044898530720837,0.049531459170013385,0.16889781347612673,3.40990990990991,0.03375356255503928,0.9796432624140462,42,10000,1.4.1.post1
A_LOG,4482,19,9,0.8,200,0.724484024452849,0.733103058801554,0.09994048160839629,0.38092032741616144,0.9108778960934484,0.5531735327335636,0.6698060501708256,0.798622071402378,0.8674358882042034,0.7531846946576204,0.7960759611795446,0.1659415288904892,0.04261490406068719,0.14569388665774208,3.418848167539267,0.0286229073483322,0.9822793628380083,42,10000,1.4.1.post1
A_LOG,4482,19,10,0.8,200,0.5939673552430239,0.5890763816780468,0.10392339861126285,0.3479541634066987,0.9107688992378956,0.4471583278136311,0.5174785954218606,0.6347897172380361,0.7939438644022471,0.6079326591993381,0.661946023557303,0.19824766705674077,0.0037929495760821064,0.14190093708165996,37.41176470588235,0.03681159648109496,0.9548620311251919,42,10000,1.4.1.post1
