SEQN,K2_cluster,K2_max_posterior,K2_norm_entropy,K3_cluster,K3_max_posterior,K3_norm_entropy,K4_cluster,K4_max_posterior,K4_norm_entropy,K5_cluster,K5_max_posterior,K5_norm_entropy,K6_cluster,K6_max_posterior,K6_norm_entropy,K7_cluster,K7_max_posterior,K7_norm_entropy
93711.0,1,0.9999786891884026,0.0003614470197119174,2,0.9998839229784944,0.0010655992256382821,1,0.9746292323947213,0.08534323831379675,2,0.9918270427867735,0.02946762946323462,4,0.9932153502473116,0.022680490486625963,6,0.931260750374603,0.12886534489004248
93717.0,1,0.9999553561152436,0.0007095627943312991,2,0.9955548229790833,0.025999485897530736,1,0.9496763331097401,0.14391351992019205,2,0.998308449864763,0.007770840893157413,4,0.960912536266907,0.09219266473446672,6,0.9014435219641976,0.16563733136729222
93731.0,1,0.9994893654791197,0.006320505388895691,1,0.9999401606506543,0.0006054031340484184,2,0.9998965066767221,0.0007647230471108168,2,0.6322594020456219,0.409076640316049,5,0.9619045740093835,0.09033260101543272,4,0.9999590740168419,0.00025570556358785933
93738.0,1,0.9999158895360412,0.0012599738709043683,2,0.9970329174994352,0.018472395541024155,1,0.9971951029059287,0.01399447869330393,2,0.9998210647062781,0.0011349213934009905,4,0.9984304461628266,0.0067666235405936,4,0.9844948287725998,0.04117153146987173
93755.0,1,0.9984890904257766,0.01633591135453384,1,0.9996877390374687,0.002769920429643285,0,0.9999686211839506,0.00026740552194786093,3,0.999925183324309,0.0005153668933921763,5,0.9997923219928466,0.0011061673438719079,1,0.9985928625500815,0.0056362033302410726
93758.0,0,0.999999988406529,3.223542757687867e-07,0,0.9999999746307683,4.272126666350079e-07,0,0.9888651951592362,0.04411283163122944,4,0.9999999999653184,5.406403352563899e-10,1,0.9999999999861089,2.0165169660740598e-10,0,0.9999999999875442,1.7035454204410058e-10
93760.0,1,0.9272862910820426,0.3759700369241964,1,0.999587883763031,0.0033038916678947506,0,0.9973692281044558,0.0131696417144164,3,0.9092396942317119,0.18915331755439688,1,0.9999255765393106,0.0004386259867035052,1,0.9998895201115977,0.0005809901289828994
93763.0,0,0.9905816466985079,0.0769120545183372,1,0.9104968331973063,0.2743342507661415,2,0.9997423795674456,0.0017215452622133362,2,0.9814168344052713,0.057456555301034044,4,0.9825316117499961,0.04912338973259547,6,0.997098864697566,0.010208303368486528
93766.0,0,0.96479866375928,0.21984027685442456,1,0.5718191390070008,0.6217229338743987,0,0.9991344131893634,0.005434002445672322,4,0.9999147896342951,0.0005711650055079988,1,0.9999406951987477,0.0003782545627198424,0,0.9991771124854664,0.003566338650388212
93770.0,1,0.9999247494888572,0.0011393363727595196,2,0.9510337224209447,0.17824488195042784,1,0.992061118439395,0.03346226686866672,1,0.9955445531996697,0.018021100408704853,2,0.9998263625759065,0.0009811545449587113,6,0.995877245474559,0.014087465291948478
93775.0,1,0.9999881033523642,0.0002117814068909272,2,0.995736753415817,0.0250746855933308,1,0.9337476638601445,0.1758907220792719,1,0.9941711962457882,0.0222471639352185,2,0.9980886727752599,0.007743417233702197,2,0.9976444485907535,0.008534085570962469
93776.0,1,0.9999992823326753,1.5683095000206807e-05,2,0.9999798156338267,0.00021837018140933537,1,0.9618329789357684,0.11691214379728537,1,0.9995109595147772,0.0026228341291664437,2,0.9927614159439039,0.02393650807210237,2,0.9999684033377289,0.00018458360164356203
93780.0,0,0.8799384500991608,0.5295377627020816,1,0.9956671600280904,0.025396336434316616,0,0.9845832493780523,0.05748499654817169,3,0.9968819749401938,0.013113856186488984,0,0.8995930225023037,0.19588233473762903,1,0.9995923419788416,0.0019887149123703953
93789.0,1,0.9999990442417526,2.049102223778908e-05,2,0.9999995995399777,5.955497453629004e-06,1,0.9999998959527351,1.2963233383612294e-06,1,0.9999997087676247,3.027608938455002e-06,2,0.9999999418198068,5.743808137650164e-07,2,0.9999068979261442,0.0004936680777495194
93801.0,1,0.9117015387242293,0.43076465616611265,1,0.9967010829788236,0.02016056373862213,2,0.9999967365973349,3.209436532554025e-05,3,0.9968731450305184,0.013285263750294119,5,0.9988520445355848,0.004980568272698009,4,0.999861693847923,0.0007048607969741944
93806.0,1,0.9997764317625598,0.003033716106290347,1,0.9972062332181792,0.018084955847776123,2,0.883519473393959,0.29177909640521943,2,0.8856653637600219,0.2214708046577348,5,0.9641771692046555,0.0870183973402026,6,0.997244417006603,0.010704197076502282
93811.0,1,0.9999565513439631,0.0006922671160148385,2,0.647287981255025,0.5912184302055662,1,0.9968310909105829,0.015575479108977065,1,0.8919064542854166,0.25013414374286896,2,0.9563687944438344,0.10081456237178103,6,0.9704407093069619,0.08181203512699438
