SEQN,K2_cluster,K2_max_posterior,K2_norm_entropy,K3_cluster,K3_max_posterior,K3_norm_entropy,K4_cluster,K4_max_posterior,K4_norm_entropy,K5_cluster,K5_max_posterior,K5_norm_entropy,K6_cluster,K6_max_posterior,K6_norm_entropy,K7_cluster,K7_max_posterior,K7_norm_entropy
93711.0,1,0.9999788891952328,0.00035834195055833856,0,0.9999330405989019,0.0006570076522404395,2,0.9998316864461835,0.0011775077951096233,3,0.9999931197455476,5.509320650608702e-05,3,0.9999986756144489,1.0964372069501769e-05,1,0.9999981808059736,1.3895921102745804e-05
93717.0,1,0.9993304424549111,0.00802579632323227,0,0.9999343470905337,0.0006371406095582279,2,0.9997505494206965,0.0016728152671401716,3,0.9983496333488038,0.007599163272672059,3,0.9987103852876543,0.005510215357081849,1,0.9920631125882726,0.023788771560324492
93731.0,1,0.8744114148971543,0.5452145287682744,0,0.9997356195799736,0.0022293524723185827,2,0.9937872171774278,0.027350852325631256,3,0.9996363036396375,0.0021638217681990875,3,0.9807223039977093,0.05317982619637887,2,0.9887510048370861,0.035570878436229594
93738.0,1,0.9977170186977686,0.023322736547309042,0,0.9997228465149879,0.002319480715077152,2,0.9999992252050536,8.42681621584678e-06,3,0.9998182529233051,0.001088617490219085,3,0.9999339038641745,0.0003919224247898379,1,0.999966742242855,0.00019332753917313558
93755.0,1,0.9700359055321859,0.19421176140070592,2,0.9982791355558506,0.011536900440765075,3,0.8377940201084471,0.32021605411978227,1,0.9999378686959456,0.0004171525683114858,4,0.9999859341377081,0.00010152627315283353,0,0.9947603496022399,0.01879236223459374
93758.0,0,0.9999999999995239,2.0133525174693784e-11,1,0.999999999627974,7.69104160075341e-09,0,0.999999999822542,3.0049003427397956e-09,0,0.9999999999999787,5.506720766815651e-13,0,0.9999999999795222,3.0021252819169916e-10,0,0.9999999936848809,6.572748868211001e-08
93760.0,0,0.9989629903899705,0.011775557048648895,1,0.6275172491820561,0.6009985515101272,3,0.99923709075291,0.004624756915877266,1,0.9999998200274993,1.8506079657585567e-06,4,0.9999864248556917,9.525586900232494e-05,0,0.9999859424730494,8.793497986266619e-05
93763.0,1,0.9972496565612635,0.027357341011468896,0,0.9978513543775948,0.013967900832220171,2,0.9304047735732328,0.18220564851364943,3,0.9942615441642707,0.021955272198709155,1,0.8487361033937698,0.23713853852478176,2,0.9922758539804221,0.023259030454903438
93766.0,0,0.9985140407440679,0.01610187283783711,1,0.9911794227458425,0.04634056134761102,0,0.998836200259768,0.006768454792166702,1,0.9947775820662151,0.021290462896542663,0,0.999897354498183,0.0006025807680615483,0,0.999794161956836,0.001048995946654264
93770.0,1,0.9991427689264825,0.009969687167419496,0,0.9993545986855612,0.005151850845639477,2,0.9995909681555082,0.0026968238175872983,3,0.9999891823619841,8.976713080057759e-05,3,0.997730899733865,0.009620582468631877,5,0.9995498217537853,0.002180811123675133
93775.0,1,0.9988530206747689,0.012857422892678555,2,0.9996773313254179,0.0026548092377094994,1,0.9976894827073811,0.011782149473899712,4,0.986600390326949,0.04417669145397698,5,0.987882895020698,0.036566434694600324,6,0.9996271747287938,0.0018161489662903573
93776.0,1,0.9999935949556819,0.00011974262658114173,2,0.9999984066790307,2.0853225258049872e-05,1,0.9999996674269183,3.829497145342823e-06,4,0.999723175129426,0.0015830888789017867,5,0.9999660325658819,0.00021690628284165727,6,0.9999695258509678,0.00018151059216980973
93780.0,1,0.9776336123187984,0.15452855326278475,2,0.9927216109849297,0.0392199792399361,3,0.8429467358010345,0.3168885220091238,1,0.9999962936435705,3.33746520742805e-05,4,0.9999987557201774,1.0792133046779424e-05,0,0.9999916266570514,5.774541178418882e-05
93789.0,1,0.9999986645398664,2.7987138832959138e-05,2,0.999787193303186,0.0019252429750853531,1,0.9991771673042034,0.004848622764808467,4,0.999973430839529,0.00019649612252157692,5,0.9999805311503788,0.00012882336289056829,6,0.999969653067907,0.0001886595046124928
93801.0,0,0.9853595277719697,0.11018384780745784,1,0.9840918321134636,0.07432599285062493,0,0.9995521031834725,0.002902968037534814,3,0.6646008705107235,0.4427298139248279,1,0.9998966509238447,0.0006235053180984006,2,0.9953084819072712,0.015910455663807298
93806.0,1,0.99354139582988,0.056271156935965176,0,0.9932396505179988,0.0387234752752335,2,0.9817941700247401,0.06786117500142282,3,0.9944761438480549,0.02133286073710511,3,0.9979962131101738,0.008068163559138294,1,0.9995653223203071,0.002042278520918556
93811.0,1,0.996553901416904,0.03315500633032389,0,0.8355204432944899,0.4976871286046995,2,0.9870395734727253,0.05930341864209358,3,0.8362650614533989,0.27951703586007975,3,0.9289135008091922,0.14370667901631565,1,0.9663007436461667,0.08823621394141257
93814.0,1,0.9997659397575647,0.0031605994039747604,2,0.9999936343367215,7.822954571858123e-05,1,0.9998834707273008,0.0008554166093050437,4,0.903534889269934,0.1971453538151143,5,0.8353259781383447,0.24978369386983443,6,0.7501607865437754,0.2907176022112021
93815.0,1,0.9959817958673902,0.03776720534153724,2,0.9951191605043543,0.031076163407186205,3,0.5312411986895783,0.5489599837108246,1,0.9985255880142652,0.007184680599755153,4,0.9984957975625646,0.007197586252499356,0,0.9889809572847574,0.03709925690034783
93823.0,1,0.9971263821559937,0.0284015061191501,2,0.9996862354073672,0.002614968413790295,1,0.9256370530510364,0.19128240647242567,1,0.9999931017901391,5.803739889316643e-05,4,0.999929202350166,0.0004409406974211345,0,0.9937494039350031,0.01990060642201748
93834.0,0,1.0,5.143063467521784e-14,1,1.0,6.489823532331762e-14,0,0.999999999925361,1.3093867945491678e-09,2,0.9962535813903846,0.015328621094225676,2,0.9999169640344004,0.00048180795915352137,4,1.0,1.0969155354423114e-13
93837.0,1,0.9085365983269605,0.4413356904495543,2,0.999789666546478,0.0018124419824186555,3,0.9546918053482574,0.13306673629476215,1,0.9999962444191369,3.1923430199508706e-05,4,0.9999896424297721,7.293648611950325e-05,0,0.9949921761211328,0.017205020136980043
93840.0,1,0.9998000136367489,0.0027458850670814307,0,0.9988960326406673,0.008424986494774685,2,0.9957506695204431,0.019868102518359635,3,0.9997068740161824,0.0017240352616817453,3,0.9998830320032747,0.0006791621303033449,1,0.9991578801075123,0.003561080473157351
93843.0,1,0.9999996258025224,8.528855444001162e-06,2,0.9915693174462633,0.044300294507038554,1,0.9952261047182908,0.02184024533226512,4,0.9980875843970656,0.008624852450146724,5,0.9992797421309098,0.003310552245558308,6,0.9974310881054934,0.009450956649897592
93847.0,0,0.9958494644237871,0.03881657110168631,1,0.7557540249538278,0.5060247037129272,3,0.9999748936975054,0.00020994610951649513,1,0.9985351532462647,0.006849204993555693,4,0.9971973675765782,0.01075497269079074,3,0.609621140986145,0.343755473834684
93866.0,1,0.9974825823258936,0.025362271310992716,0,0.9951372166083936,0.03093746908117965,2,0.9977914622813473,0.012234132285697578,3,0.9997628502836173,0.0013837620462662972,3,0.9999539482693929,0.00028785153011702693,1,0.999473637091774,0.0023729339156744645
93870.0,1,0.9999991196331666,1.8979024180129706e-05,2,0.9999941804415308,7.148159938283375e-05,1,0.9999996692406988,3.865560439630931e-06,4,0.9999901618892325,7.693586285627437e-05,5,0.9999868197807795,9.00633780456516e-05,6,0.9999963410580157,2.614796514692321e-05
93875.0,1,0.9997578118118366,0.0032584251195211305,0,0.9998929391378696,0.0009938915622683068,2,0.9999670774666454,0.000269550110805706,3,0.9999919266098135,6.914786764241453e-05,3,0.999996251267052,2.9034192420099474e-05,1,0.9999997851808669,1.817185957817804e-06
93888.0,1,0.9999908725826034,0.00016597341724977496,2,0.96989012156853,0.12367029946977157,1,0.7481242183078765,0.40818948905901203,4,0.9794271649980644,0.0626756716615367,5,0.9944116144217217,0.01934663645766727,6,0.9927056310189917,0.022192335134165225
93890.0,1,0.9998409401272111,0.002236496772699748,0,0.9936126607270442,0.0365323584943354,2,0.9992030573491221,0.004798339247722103,3,0.9999655167999341,0.00025305737804174987,3,0.9999802521418822,0.0001326745956555037,1,0.999345843060671,0.002951399899755172
93891.0,0,0.9999999999993996,2.5208692919973472e-11,1,0.9999999937423674,1.1328928731724751e-07,0,0.9999995959514293,4.58224675758445e-06,2,0.9999873803183218,9.629313773534903e-05,2,0.9999835081291496,0.00011178518098484442,3,0.999992247940979,5.086547267299765e-05
93916.0,1,0.9998375984228351,0.0022786118075098596,0,0.9999432380496456,0.0005585431257866347,2,0.9999909201956139,8.264157945842833e-05,3,0.9999923563658003,6.0762570563245534e-05,3,0.9999921530482464,5.5871414158768045e-05,1,0.9916692663002138,0.02476063355782893
93926.0,0,0.6920654071781043,0.8907748968946597,1,0.9756183302006713,0.11918369651360176,3,0.999906863731049,0.0007340169269296916,1,0.9938327239627097,0.024206300250451906,4,0.9996944102296782,0.001660053119053319,3,0.9962305654634256,0.014086644409701459
93932.0,1,0.9963565802717276,0.03476024539652397,2,0.9991889848682811,0.006001300038010908,1,0.997898297053564,0.011905493318652989,1,0.9998525171470622,0.0009643507704596839,4,0.9990413072789661,0.004314584621908697,0,0.9998867055604733,0.0005946163449935977
93950.0,1,0.9826556674414834,0.1262581147873992,2,0.9779213615896959,0.1103207076135843,3,0.9676372192968279,0.11716526950069585,1,0.9481028461654243,0.15142356596430862,2,0.915260249368969,0.19120076455423796,2,0.9945943556824183,0.02009471707068522
93957.0,1,0.9621424994646282,0.23238116379103468,2,0.9959501981141078,0.023989378734875597,1,0.970700041058498,0.09546770778144201,1,0.9999971369412878,2.5527967968847998e-05,4,0.9999995518323753,3.936411846040974e-06,0,0.9999963120897708,2.561218682245275e-05
93964.0,1,0.9944689494459629,0.0494306039462853,0,0.9956377974002327,0.02560739484306813,2,0.9922850952673197,0.033747995874676306,3,0.9927660922063655,0.027547988214688984,3,0.9741840113421926,0.06864679899564592,1,0.9776198327977844,0.05667399998652698
93968.0,0,1.0,5.143063467521784e-14,0,1.0,1.1095941345495281e-13,2,1.0,7.698578068763589e-14,0,1.0,8.85998748858114e-14,0,1.0,9.948042700981048e-14,5,1.0,1.0969155354423114e-13
93972.0,1,0.9921831827193774,0.06594458272199409,0,0.9999641652419716,0.00036741935118200265,2,0.9927700807049525,0.030954149757999393,3,0.9992514780750198,0.004002906959861918,1,0.9960733477877672,0.014611565055746227,3,0.9933871275459919,0.02052521276668293
93982.0,1,0.9999987605922953,2.6107642230136398e-05,2,0.9999978488758083,2.8759139184389776e-05,1,0.9999981228039656,1.9310539423131908e-05,4,0.9999978854160478,1.902195849572878e-05,5,0.9999972707901617,2.1162443566731588e-05,6,0.9996872235162203,0.0014616434029992899
93984.0,0,0.9318302125652784,0.3590562369348896,1,0.9668735330014518,0.13460862078626956,0,0.8249801976086041,0.3585934850676469,1,0.9964381295526172,0.015784621009091535,0,0.9914682022663074,0.028813452413803505,3,0.9999302773245522,0.0004029211280418352
93998.0,1,0.9997772744814173,0.0030234944341705925,2,0.9988807244501005,0.008022520310560608,1,0.9998195736955867,0.0012579550901025934,4,0.9997611508923685,0.0014522806534761367,5,0.9998597908675029,0.0008497168750344783,6,0.9997491301461838,0.0013328921091576382
94012.0,1,0.9989323784570788,0.01207833198625147,2,0.9106380616363442,0.2783544182891977,1,0.6431917209074666,0.5305959010221313,3,0.7627650781303214,0.4017997267066912,3,0.9550473742124002,0.10875189578035038,1,0.8838628790077409,0.2306975801005905
94013.0,1,0.9040398940559091,0.45605702343266297,0,0.961414455864107,0.14962205843270224,2,0.9544543776737784,0.13373471464873873,3,0.977541416010647,0.07246578912518635,3,0.9876262310710465,0.03770116875509991,1,0.9870922427720491,0.036817478706356196
94015.0,1,0.9961032650017413,0.03679842316916043,2,0.9954747544113579,0.028954980044762026,1,0.9977337793992344,0.013170021026347884,4,0.9129288973577543,0.1903651749773932,4,0.9411491161144718,0.12765575173559507,6,0.9965782129292153,0.012239528796112032
94021.0,1,0.9908743189466557,0.07493958350869372,2,0.999963492563241,0.00037278096565843637,1,0.9936758752506153,0.027646047345045863,1,0.8388611627543694,0.27535565666362205,4,0.9996297731767451,0.0019137754637800085,6,0.8423100936540842,0.22447375244633447
94038.0,1,0.9906086040267795,0.07673093514444196,2,0.9954853049230521,0.027388951016686387,3,0.7708722045031888,0.4038225840850371,1,0.9943536668672475,0.02503010384694215,4,0.9975695658700638,0.010271256807214142,0,0.9622823695154997,0.08913781767773887
94040.0,1,0.9556743049134446,0.2617853637976782,0,0.9791331961301326,0.09345331953219273,2,0.952262241297653,0.13994394139954036,3,0.9949886018761803,0.01992851172887192,3,0.9932845634892087,0.023545157884196713,3,0.988557162758133,0.03238930178446031
94042.0,1,0.9992222640158471,0.00915439255031201,0,0.9999746966719303,0.0002670925803681513,2,0.9999880981876184,0.00010597875247580861,3,0.9999957738675768,3.519323421012649e-05,3,0.999998685329019,1.0671181093333991e-05,1,0.9999367913774521,0.0003605968793415143
94044.0,1,0.999998897925394,2.340149730490431e-05,2,0.8524308171165942,0.3809522061387468,1,0.863713806294235,0.28721820653931307,4,0.9596353333051323,0.1050696918941984,5,0.9906152516796889,0.029666302910901974,6,0.9961367435458981,0.013012486688984925
94047.0,0,0.9808349976766992,0.13672625541902758,2,0.518882380515996,0.6309951100811687,3,0.9979287873086398,0.010729436230283555,1,0.9985058671178328,0.0069711932275582705,4,0.9980310831820373,0.008055011524596268,4,0.9876964322707745,0.036612882083010355
94050.0,0,0.8098680937519176,0.7017473159928158,1,0.9982494589433529,0.012801122056796083,3,0.9758817041074578,0.08785897546001668,2,0.9555029855894419,0.12203324621313416,2,0.9750093441977001,0.07143294726147578,0,0.9998257886731803,0.0009252570688671413
94067.0,0,0.5766829912745847,0.982965947850909,0,0.8095993412947512,0.45108237695305814,0,0.8368017978521767,0.32860106662156724,2,0.9493366706045018,0.12583585710929848,2,0.721665963128441,0.43716635845339,3,0.9219553190355444,0.1455601347123545
94098.0,1,0.9993843262180216,0.007454453220150944,2,0.9998375133035089,0.00144255606570995,1,0.9773782260899296,0.07798519774851491,1,0.9071890502992256,0.19200183751279581,4,0.9702202434885174,0.0749926385810648,6,0.9849700249949503,0.04247334797118236
94105.0,1,0.9825522585172592,0.12685993214105423,2,0.9501044107590909,0.18044572821226235,3,0.924082387763556,0.19385214619178393,1,0.9748246760325474,0.07319637492510526,4,0.9640890320264948,0.08636685730315549,0,0.9651538631525005,0.07808034793824849
