PC,Eigenvalue,Explained_Variance_Ratio,Explained_Variance_Pct,Cumulative_Variance_Ratio,Cumulative_Variance_Pct
PC1,4.426572412504501,0.18424978242327406,18.424978242327406,0.18424978242327406,18.424978242327406
PC2,3.382271466410663,0.14078224045814794,14.078224045814794,0.32503202288142197,32.5032022881422
PC3,2.014479113664154,0.0838498286711294,8.38498286711294,0.40888185155255136,40.88818515525514
PC4,1.4967433282576936,0.062299812784252444,6.229981278425244,0.4711816643368038,47.11816643368038
PC5,1.3841327087592503,0.05761255587131311,5.761255587131311,0.528794220208117,52.879422020811695
PC6,1.1766458499357215,0.04897621040321898,4.897621040321898,0.5777704306113359,57.77704306113359
PC7,1.145745517439012,0.0476900280009516,4.76900280009516,0.6254604586122875,62.54604586122875
PC8,1.0118322746259032,0.04211607968323947,4.211607968323947,0.667576538295527,66.7576538295527
PC9,0.9831478239770453,0.0409221302120745,4.09221302120745,0.7084986685076015,70.84986685076015
PC10,0.8952762956604947,0.03726460279248695,3.726460279248695,0.7457632713000885,74.57632713000885
PC11,0.8315395361006812,0.034611650804604335,3.4611650804604337,0.7803749221046928,78.03749221046928
PC12,0.742149761133207,0.03089092852700264,3.089092852700264,0.8112658506316954,81.12658506316954
PC13,0.7149274292944988,0.02975783767228909,2.975783767228909,0.8410236883039846,84.10236883039846
PC14,0.6653335800200443,0.027693564214898405,2.7693564214898405,0.868717252518883,86.8717252518883
PC15,0.5470305379219804,0.022769368305439186,2.2769368305439186,0.8914866208243222,89.14866208243222
PC16,0.504988391562954,0.02101942374395955,2.101942374395955,0.9125060445682818,91.25060445682817
PC17,0.4139196722375286,0.017228817794788534,1.7228817794788533,0.9297348623630703,92.97348623630704
PC18,0.4068275776265012,0.01693361944102033,1.693361944102033,0.9466684818040907,94.66684818040906
PC19,0.3432372947234877,0.014286764335698416,1.4286764335698416,0.9609552461397891,96.09552461397891
PC20,0.32297417574262133,0.013443340820724403,1.3443340820724403,0.9743985869605135,97.43985869605135
PC21,0.2626422251170361,0.010932109163351286,1.0932109163351287,0.9853306961238648,98.53306961238648
PC22,0.23424462408318056,0.009750099399532584,0.9750099399532584,0.9950807955233973,99.50807955233974
PC23,0.07179786230357457,0.002988483927320449,0.2988483927320449,0.9980692794507178,99.80692794507178
PC24,0.04638526139518198,0.001930720549282392,0.1930720549282392,1.0000000000000002,100.00000000000003
