PC,Eigenvalue,Explained_Variance_Ratio,Explained_Variance_Pct,Cumulative_Variance_Ratio,Cumulative_Variance_Pct
PC1,2.762117563787701,0.14534217341098463,14.534217341098463,0.14534217341098463,14.534217341098463
PC2,2.1640986075871522,0.11387451396930391,11.387451396930391,0.2592166873802885,25.921668738028853
PC3,1.9053983706791187,0.10026174991208213,10.026174991208213,0.35947843729237067,35.947843729237064
PC4,1.3848744790715528,0.07287186806547358,7.287186806547358,0.43235030535784424,43.235030535784425
PC5,1.3482991966529376,0.07094728270041317,7.094728270041317,0.5032975880582574,50.32975880582574
PC6,1.1141898894478082,0.058628489332952914,5.862848933295291,0.5619260773912104,56.19260773912104
PC7,1.0486286108119347,0.05517866559863145,5.517866559863145,0.6171047429898419,61.71047429898419
PC8,0.9999779557092288,0.05261867610245699,5.261867610245699,0.6697234190922988,66.97234190922988
PC9,0.8993644827102489,0.04732441164687529,4.732441164687529,0.7170478307391741,71.70478307391741
PC10,0.8672230171430109,0.0456331329976962,4.563313299769621,0.7626809637368703,76.26809637368703
PC11,0.7675514599395166,0.04038843199686415,4.038843199686415,0.8030693957337345,80.30693957337346
PC12,0.7349929969526998,0.03867521101182546,3.867521101182546,0.84174460674556,84.174460674556
PC13,0.6376102058547585,0.03355094450826886,3.355094450826886,0.8752955512538289,87.52955512538288
PC14,0.569157455368513,0.029948971999181458,2.994897199918146,0.9052445232530103,90.52445232530103
PC15,0.5487096996508904,0.028873014445332537,2.8873014445332537,0.9341175376983428,93.41175376983428
PC16,0.42666714851666776,0.02245115541115549,2.245115541115549,0.9565686931094983,95.65686931094983
PC17,0.39172840177567153,0.02061268428517316,2.061268428517316,0.9771813773946715,97.71813773946715
PC18,0.3488593600600404,0.018356922337643366,1.8356922337643367,0.9955382997323149,99.55382997323149
PC19,0.08479122325274208,0.00446170026768519,0.44617002676851897,1.0,100.0
