PC,Eigenvalue,Explained_Variance_Ratio,Explained_Variance_Pct,Cumulative_Variance_Ratio,Cumulative_Variance_Pct
PC1,2.9211173058315545,0.15370871377241327,15.370871377241327,0.15370871377241327,15.370871377241327
PC2,2.211415068193178,0.11636429836977866,11.636429836977866,0.2700730121421919,27.007301214219193
PC3,1.9245078175527381,0.10126728587394963,10.126728587394963,0.37134029801614155,37.134029801614155
PC4,1.3814819770636093,0.0726933551659506,7.26933551659506,0.44403365318209215,44.40336531820922
PC5,1.3386502608223796,0.07043955727876501,7.043955727876501,0.5144732104608571,51.44732104608571
PC6,1.0911016951152959,0.057413592332037286,5.741359233203728,0.5718868027928944,57.188680279289436
PC7,1.0397013745767587,0.054708915891383623,5.470891589138362,0.626595718684278,62.6595718684278
PC8,0.9790577771637187,0.051517859736849324,5.151785973684932,0.6781135784211273,67.81135784211273
PC9,0.8843876725502451,0.04653633435141314,4.653633435141314,0.7246499127725404,72.46499127725404
PC10,0.8500714344807342,0.044730619529676156,4.473061952967615,0.7693805323022166,76.93805323022166
PC11,0.7683125685773482,0.04042848140861799,4.042848140861799,0.8098090137108346,80.98090137108346
PC12,0.7053048273105533,0.03711302439205457,3.711302439205457,0.8469220381028891,84.69220381028892
PC13,0.6487314034195817,0.03413614010102562,3.4136140101025623,0.8810581782039147,88.10581782039148
PC14,0.5482219678665615,0.028847350078795384,2.8847350078795384,0.9099055282827101,90.990552828271
PC15,0.5284839233352497,0.02780873741122677,2.780873741122677,0.9377142656939369,93.7714265693937
PC16,0.4263024448790849,0.02243196476553202,2.243196476553202,0.9601462304594689,96.01462304594689
PC17,0.39746795502911203,0.02091469863648098,2.091469863648098,0.9810609290959499,98.10609290959499
PC18,0.27722570420242665,0.01458757110936226,1.4587571109362258,0.9956485002053121,99.56485002053121
PC19,0.08269694700201435,0.0043514997946878225,0.43514997946878226,1.0,100.0
