PC,Eigenvalue,Explained_Variance_Ratio,Explained_Variance_Pct,Cumulative_Variance_Ratio,Cumulative_Variance_Pct
PC1,4.061183449346309,0.16904098638695847,16.904098638695846,0.16904098638695847,16.904098638695846
PC2,3.304761773963859,0.13755600972290094,13.755600972290093,0.3065969961098594,30.659699610985943
PC3,1.9928500009845784,0.08294954761078513,8.294954761078513,0.38954654372064457,38.954654372064454
PC4,1.4792314628128649,0.061570906285644024,6.1570906285644025,0.4511174500062886,45.11174500062886
PC5,1.3537234683998491,0.056346814480965755,5.6346814480965755,0.5074642644872543,50.74642644872544
PC6,1.222166200507276,0.050870930269304886,5.087093026930488,0.5583351947565592,55.833519475655926
PC7,1.1449339524047804,0.04765624776038509,4.765624776038509,0.6059914425169444,60.59914425169444
PC8,1.0421591612581447,0.043378393216794514,4.337839321679452,0.6493698357337389,64.93698357337388
PC9,1.010349968259495,0.042054380788463956,4.205438078846395,0.6914242165222028,69.14242165222028
PC10,0.8781035249572872,0.03654981063033173,3.654981063033173,0.7279740271525345,72.79740271525344
PC11,0.8502280014522983,0.035389531601297805,3.5389531601297803,0.7633635587538322,76.33635587538322
PC12,0.7976289927015766,0.03320017265381431,3.3200172653814306,0.7965637314076466,79.65637314076466
PC13,0.7513852540795491,0.03127534278872992,3.127534278872992,0.8278390741963765,82.78390741963764
PC14,0.6881912102115755,0.028644980569819952,2.8644980569819953,0.8564840547661964,85.64840547661964
PC15,0.5790193716964706,0.02410085802562867,2.410085802562867,0.880584912791825,88.0584912791825
PC16,0.5532100378263484,0.02302658120218253,2.302658120218253,0.9036114939940075,90.36114939940076
PC17,0.49177402129946374,0.020469394371565048,2.046939437156505,0.9240808883655726,92.40808883655725
PC18,0.40638468835044617,0.0169151848046592,1.69151848046592,0.9409960731702318,94.09960731702319
PC19,0.3954685977498802,0.016460818055256118,1.6460818055256117,0.9574568912254879,95.7456891225488
PC20,0.3355327005138008,0.01396607155706357,1.396607155706357,0.9714229627825515,97.14229627825515
PC21,0.3314336910049028,0.013795456114733535,1.3795456114733535,0.985218418897285,98.5218418897285
PC22,0.23587531984916132,0.009817974792066945,0.9817974792066945,0.9950363936893519,99.5036393689352
PC23,0.0727324001885366,0.0030273827379406373,0.3027382737940637,0.9980637764272926,99.80637764272926
PC24,0.04651747067845685,0.0019362235727072253,0.19362235727072252,0.9999999999999998,99.99999999999997
