matrix,cohort,scale,K,model_A,model_B,ARI
B_RAW,B,Raw,5,K-Means,Spectral,0.54528
B_RAW,B,Raw,5,K-Means,Hier-Ward,0.39996
B_RAW,B,Raw,5,GMM,Spectral,0.29967
B_RAW,B,Raw,5,GMM,Hier-Ward,0.21582
B_RAW,B,Raw,5,Spectral,Hier-Ward,0.36089
B_RAW,B,Raw,6,K-Means,GMM,0.25505
B_RAW,B,Raw,6,K-Means,Spectral,0.62929
B_RAW,B,Raw,6,K-Means,Hier-Ward,0.3406
B_RAW,B,Raw,6,GMM,Spectral,0.27943
B_RAW,B,Raw,6,GMM,Hier-Ward,0.20686
B_RAW,B,Raw,6,Spectral,Hier-Ward,0.36905
B_RAW,B,Raw,7,K-Means,GMM,0.35263
B_RAW,B,Raw,7,K-Means,Spectral,0.4568
B_RAW,B,Raw,7,K-Means,Hier-Ward,0.34116
B_RAW,B,Raw,7,GMM,Spectral,0.28375
B_RAW,B,Raw,7,GMM,Hier-Ward,0.24746
B_RAW,B,Raw,7,Spectral,Hier-Ward,0.35385
B_LOG,B,Log1p,2,K-Means,GMM,0.18496
B_LOG,B,Log1p,2,K-Means,Spectral,0.08111
B_LOG,B,Log1p,2,K-Means,Hier-Ward,0.22841
B_LOG,B,Log1p,2,GMM,Spectral,0.00517
B_LOG,B,Log1p,2,GMM,Hier-Ward,0.10329
B_LOG,B,Log1p,2,Spectral,Hier-Ward,0.34074
B_LOG,B,Log1p,3,K-Means,GMM,0.45062
B_LOG,B,Log1p,3,K-Means,Spectral,0.42104
B_LOG,B,Log1p,3,K-Means,Hier-Ward,0.23116
B_LOG,B,Log1p,3,GMM,Spectral,0.42994
B_LOG,B,Log1p,3,GMM,Hier-Ward,0.20665
B_LOG,B,Log1p,3,Spectral,Hier-Ward,0.29765
B_LOG,B,Log1p,4,K-Means,GMM,0.43833
B_LOG,B,Log1p,4,K-Means,Spectral,0.66386
B_LOG,B,Log1p,4,K-Means,Hier-Ward,0.31595
B_LOG,B,Log1p,4,GMM,Spectral,0.44658
B_LOG,B,Log1p,4,GMM,Hier-Ward,0.25521
B_LOG,B,Log1p,4,Spectral,Hier-Ward,0.25596
B_LOG,B,Log1p,5,K-Means,GMM,0.43628
B_LOG,B,Log1p,5,K-Means,Spectral,0.50255
B_LOG,B,Log1p,5,K-Means,Hier-Ward,0.36062
B_LOG,B,Log1p,5,GMM,Spectral,0.36042
B_LOG,B,Log1p,5,GMM,Hier-Ward,0.37785
B_LOG,B,Log1p,5,Spectral,Hier-Ward,0.36238
B_LOG,B,Log1p,6,K-Means,GMM,0.41785
B_LOG,B,Log1p,6,K-Means,Spectral,0.6568
B_LOG,B,Log1p,6,K-Means,Hier-Ward,0.37928
B_LOG,B,Log1p,6,GMM,Spectral,0.41999
B_LOG,B,Log1p,6,GMM,Hier-Ward,0.40998
B_LOG,B,Log1p,6,Spectral,Hier-Ward,0.37972
B_LOG,B,Log1p,7,K-Means,GMM,0.35663
B_LOG,B,Log1p,7,K-Means,Spectral,0.69842
B_LOG,B,Log1p,7,K-Means,Hier-Ward,0.37286
B_LOG,B,Log1p,7,GMM,Spectral,0.36773
B_LOG,B,Log1p,7,GMM,Hier-Ward,0.29817
B_LOG,B,Log1p,7,Spectral,Hier-Ward,0.36579
