matrix,cohort,scale,K,model_A,model_B,NMI
B_RAW,B,Raw,5,K-Means,Spectral,0.59243
B_RAW,B,Raw,5,K-Means,Hier-Ward,0.45497
B_RAW,B,Raw,5,GMM,Spectral,0.33733
B_RAW,B,Raw,5,GMM,Hier-Ward,0.28579
B_RAW,B,Raw,5,Spectral,Hier-Ward,0.42607
B_RAW,B,Raw,6,K-Means,GMM,0.35055
B_RAW,B,Raw,6,K-Means,Spectral,0.64825
B_RAW,B,Raw,6,K-Means,Hier-Ward,0.45234
B_RAW,B,Raw,6,GMM,Spectral,0.35744
B_RAW,B,Raw,6,GMM,Hier-Ward,0.28194
B_RAW,B,Raw,6,Spectral,Hier-Ward,0.45892
B_RAW,B,Raw,7,K-Means,GMM,0.42116
B_RAW,B,Raw,7,K-Means,Spectral,0.57484
B_RAW,B,Raw,7,K-Means,Hier-Ward,0.44788
B_RAW,B,Raw,7,GMM,Spectral,0.39893
B_RAW,B,Raw,7,GMM,Hier-Ward,0.35351
B_RAW,B,Raw,7,Spectral,Hier-Ward,0.46282
B_LOG,B,Log1p,2,K-Means,GMM,0.1797
B_LOG,B,Log1p,2,K-Means,Spectral,0.06044
B_LOG,B,Log1p,2,K-Means,Hier-Ward,0.18109
B_LOG,B,Log1p,2,GMM,Spectral,0.00679
B_LOG,B,Log1p,2,GMM,Hier-Ward,0.05389
B_LOG,B,Log1p,2,Spectral,Hier-Ward,0.30126
B_LOG,B,Log1p,3,K-Means,GMM,0.39704
B_LOG,B,Log1p,3,K-Means,Spectral,0.47558
B_LOG,B,Log1p,3,K-Means,Hier-Ward,0.29508
B_LOG,B,Log1p,3,GMM,Spectral,0.42048
B_LOG,B,Log1p,3,GMM,Hier-Ward,0.23627
B_LOG,B,Log1p,3,Spectral,Hier-Ward,0.32725
B_LOG,B,Log1p,4,K-Means,GMM,0.43574
B_LOG,B,Log1p,4,K-Means,Spectral,0.64472
B_LOG,B,Log1p,4,K-Means,Hier-Ward,0.38247
B_LOG,B,Log1p,4,GMM,Spectral,0.45808
B_LOG,B,Log1p,4,GMM,Hier-Ward,0.32302
