cohort,matrix,scale,model,linkage,K,silhouette,CH,DB,stability_ari_mean,stability_ari_sd,stability_source,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,degeneracy_note
A,A_RAW,Raw,Hierarchical,Average,5,0.5256,61.09,0.87,,,excluded — degenerate outlier-peeling,0.0002,0.9951,4460.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
A,A_RAW,Raw,Hierarchical,Average,6,0.5231,51.14,0.9994,,,excluded — degenerate outlier-peeling,0.0002,0.9951,4460.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
A,A_RAW,Raw,Hierarchical,Average,7,0.52288,43.47,0.8911,,,excluded — degenerate outlier-peeling,0.0002,0.9951,4460.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
A,A_LOG,Log1p,K-Means,NA,2,0.0946,491.24,2.9049,0.9506,0.0292,"kmeans_stability (B=200, 80% subsample, ARI)",0.496,0.504,1.02,False,
A,A_LOG,Log1p,K-Means,NA,3,0.08359,395.74,2.8216,0.8325,0.0951,"kmeans_stability (B=200, 80% subsample, ARI)",0.2959,0.3811,1.29,False,
A,A_LOG,Log1p,K-Means,NA,4,0.08377,347.82,2.6144,0.9201,0.0529,"kmeans_stability (B=200, 80% subsample, ARI)",0.176,0.3373,1.92,False,
A,A_LOG,Log1p,K-Means,NA,5,0.06462,307.05,2.6881,0.8692,0.097,"kmeans_stability (B=200, 80% subsample, ARI)",0.1383,0.247,1.79,False,
A,A_LOG,Log1p,K-Means,NA,6,0.06366,276.25,2.6213,0.6617,0.1865,"kmeans_stability (B=200, 80% subsample, ARI)",0.1256,0.2088,1.66,False,
A,A_LOG,Log1p,K-Means,NA,7,0.06268,255.23,2.5596,0.7236,0.1096,"kmeans_stability (B=200, 80% subsample, ARI)",0.06,0.1792,2.99,False,
A,A_LOG,Log1p,GMM,full_cov,2,0.1325,119.35,5.2966,,,NA (not generated),0.2111,0.7889,3.74,False,BIC=217233; mean_max_posterior=0.945
A,A_LOG,Log1p,GMM,full_cov,3,0.04062,164.97,4.7223,,,NA (not generated),0.1055,0.4581,4.34,False,BIC=216680; mean_max_posterior=0.867
A,A_LOG,Log1p,GMM,full_cov,4,0.03002,161.86,4.7374,,,NA (not generated),0.075,0.3536,4.72,False,BIC=216908; mean_max_posterior=0.839
A,A_LOG,Log1p,GMM,full_cov,5,0.03237,173.15,4.3515,,,NA (not generated),0.0627,0.2646,4.22,False,BIC=217417; mean_max_posterior=0.831
A,A_LOG,Log1p,GMM,full_cov,6,0.02492,154.59,3.9669,,,NA (not generated),0.048,0.2662,5.55,False,BIC=218274; mean_max_posterior=0.827
A,A_LOG,Log1p,GMM,full_cov,7,0.02295,141.71,3.9025,,,NA (not generated),0.0433,0.2383,5.51,False,BIC=219418; mean_max_posterior=0.813
A,A_LOG,Log1p,Spectral,kNN_k10_NJW,2,0.08739,465.66,2.9354,,,NA (not generated),0.4288,0.5712,1.33,False,eigengap_prev=0.08769; eigengap_next=0.02471
