SEQN,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,max_posterior,entropy_raw,entropy_norm
93705.0,0.939066056262453,6.154755294963669e-16,1.060968418102524e-06,0.0609328827691265,0.939066056262453,0.22954229366090292,0.1655797643694314
93708.0,0.10750781861422846,0.8921231223436876,7.322707066787122e-05,0.00029583197141708564,0.8921231223436876,0.34470101597114083,0.24864922316547614
93709.0,0.9990073818966647,4.230743416152312e-05,1.5619625594881404e-05,0.0009346910435795652,0.9990073818966647,0.00811079176389165,0.005850699527724767
93711.0,0.22863745634166086,0.7704966467910115,0.0007369288051020533,0.00012896806222498217,0.7704966467910115,0.544735855255398,0.39294385848568547
93713.0,0.9390058309597132,0.055108060695185056,0.005828949305475903,5.715903962657228e-05,0.9390058309597132,0.24937137235436357,0.17988342111765773
93714.0,0.9840912088570714,0.00014568561177245076,0.015280040298362017,0.0004830652327955003,0.9840912088570714,0.08464596622299325,0.06105915785058354
93715.0,0.0002556598465009083,0.6746105035803326,0.32478699909789643,0.0003468374752698332,0.6746105035803326,0.6356687229617876,0.45853805713259566
93716.0,0.8441984327248412,0.010724461001812213,0.1450086263090188,6.847996432692396e-05,0.8441984327248412,0.4722806314069264,0.3406784624193406
93717.0,0.19391146281718194,0.8046797608931248,0.0014039201018130041,4.856187878905292e-06,0.8046797608931248,0.5022300914820813,0.3622824311832046
93718.0,0.16010672740515977,0.8397410855431232,0.00015120219411524964,9.848576005191978e-07,0.8397410855431232,0.44131616580753985,0.31834232193733464
93721.0,4.635788394593098e-07,0.001517410180418321,0.9984569337078101,2.5192532932733512e-05,0.9984569337078101,0.011664529389016513,0.008414179351918847
93722.0,0.023887750330798787,0.9760518079947333,5.397287400674463e-05,6.4688004616307106e-06,0.9760518079947333,0.11347296649330045,0.08185344301742203
93723.0,0.1914364294551287,0.8063164550337093,0.0022467898447194705,3.256664408400549e-07,0.8063164550337093,0.5037719555814058,0.36339465102811463
93726.0,0.02747920814813978,0.002188092869421518,0.9253982134843252,0.044934485498114754,0.9253982134843252,0.323329336826761,0.2332328154069427
93728.0,0.9915971349387909,0.0045958144655465615,0.0004901216691261385,0.003316928926537616,0.9915971349387909,0.055775487474674854,0.040233509591438954
93729.0,0.31571567318010346,0.6824489178718697,0.0018334424173502763,1.9665306769849143e-06,0.6824489178718697,0.6363137857969002,0.45900337160923504
93730.0,0.05547529906476458,0.8623794128507833,0.08211042221826613,3.486586618494798e-05,0.8623794128507833,0.4937167811576205,0.3561413758898804
93731.0,0.06022618274977895,0.935931762397876,0.0037843803772091974,5.767447513594055e-05,0.935931762397876,0.25285290865340115,0.18239481869430596
93735.0,0.0,0.0,0.0,1.0,1.0,1.067249536536822e-13,7.698578068763589e-14
93738.0,0.5369018637569282,0.44902628840253195,0.01405974170354502,1.210613699657088e-05,0.5369018637569282,0.7535383077206427,0.5435629898342165
93742.0,0.9966750438068933,1.1849354361315744e-05,0.00010942537658545865,0.0032036814621612627,0.9966750438068933,0.022852020424152793,0.01648424827010927
93743.0,0.8815025228980378,0.11354049915875611,0.004923922533248486,3.3055409958808804e-05,0.8815025228980378,0.38470489806678554,0.27750592432332283
93746.0,0.05068751107540681,0.9491992178988006,0.00011173045483235992,1.540570961590558e-06,0.9491992178988006,0.20167929642845342,0.1454808604036525
93752.0,0.9881659903970569,0.00530746931894292,0.006458929443850185,6.761084015060333e-05,0.9881659903970569,0.07278461985198491,0.05250300505672351
93754.0,0.994976306275464,0.0016439372200555604,0.003291393037826448,8.836346665464102e-05,0.994976306275464,0.035189632742207905,0.02538395432394362
93755.0,0.08612016226031889,0.9131700811035874,0.0007094309751019132,3.2566099043113994e-07,0.9131700811035874,0.29926272398253384,0.21587242390626213
93756.0,0.9944719353866418,0.0029312127757378627,0.0004393546913191694,0.002157497146300441,0.9944719353866418,0.039249341887419985,0.02831241544956814
93757.0,3.95431321459704e-14,8.279204908921748e-06,0.999991572368305,1.484267456833731e-07,0.999991572368305,0.00010764263579744948,7.764774842659859e-05
93758.0,0.024799063008490718,8.174341657846119e-09,0.9749853247851823,0.00021560403198441982,0.9749853247851823,0.11820034357600735,0.08526352475423873
93759.0,0.948029684135643,0.05010471343472277,0.0011518134295538185,0.0007137890000815032,0.948029684135643,0.21355631819292809,0.15404832060372145
93760.0,0.9909701763063823,3.346716030909524e-05,0.008987746979322643,8.609553985850461e-06,0.9909701763063823,0.051783521715322904,0.03735391498923115
93761.0,0.09370301695037143,0.5703845059644739,0.33547882577440075,0.0004336513107536032,0.5703845059644739,0.9118595385052085,0.6577676170943816
93762.0,0.7231353481189241,0.2711296137012446,0.005386684180818949,0.0003483539990138612,0.7231353481189241,0.6191905946964189,0.44665160016680583
93763.0,0.003002300982832804,2.056731483721506e-09,0.9969960553490624,1.6416113730310757e-06,0.9969960553490624,0.02045982925600283,0.014758647102535105
93766.0,0.9771647968709287,0.00021547479654792558,0.022598165422655525,2.156290986757375e-05,0.9771647968709287,0.11026782091077779,0.07954141919880574
93767.0,0.9495461082936006,0.0013448179978226712,0.04906210178468059,4.697192389624558e-05,0.9495461082936006,0.20642447916055823,0.14890378620151226
93768.0,0.9968934786090916,0.0008685624016111904,0.0019203550374571725,0.0003176039518411142,0.9968934786090916,0.02379439975110542,0.017164031260924688
93770.0,0.07012665143044387,0.9269446112560605,0.002806833086495645,0.00012190422700049673,0.9269446112560605,0.27426835180527276,0.1978427955111283
93772.0,2.12211180651838e-15,6.169045739601869e-39,1.3661482805421965e-23,1.0,1.0,1.4499484364233903e-13,1.0459167093863659e-13
93773.0,0.8796820288229213,0.014934704830683482,0.10328001522499392,0.002103251121400592,0.8796820288229213,0.4229999461453803,0.30512996230011935
93774.0,0.40290565842556725,0.5956971365729706,0.0013957292227801223,1.4757786828067892e-06,0.5956971365729706,0.6840431033373177,0.4934327964695225
93775.0,0.04849050311092773,0.9514507751084691,5.66432971448616e-05,2.0784834579731046e-06,0.9514507751084691,0.19468330029176467,0.1404343159374129
93776.0,0.0023369269367083958,0.9976587324703282,3.5088395216591186e-06,8.317534422359084e-07,0.9976587324703282,0.01655349058044221,0.011940819384903071
93780.0,0.8442064118993821,5.87350984460707e-06,0.15575560974192523,3.2104848848021715e-05,0.8442064118993821,0.43299867324969293,0.3123425193044163
93782.0,0.0010536012161005495,0.9988440339006918,0.00010232213318067882,4.275002712845086e-08,0.9988440339006918,0.009319102478216518,0.00672231146542951
93783.0,0.003200301445903286,0.9965995916181309,0.0002000462102050288,6.072575916869071e-08,0.9965995916181309,0.023483580035562213,0.016939822229812336
93785.0,0.001073395403516743,1.806718831344534e-20,9.747523780848252e-10,0.9989266036217301,0.9989266036217301,0.008411567804853332,0.006067663579081583
93788.0,5.922403254774468e-27,8.897881095488499e-124,1.0,6.450853786373955e-19,1.0,1.067249536536822e-13,7.698578068763589e-14
93789.0,0.007148828675740136,0.992791607811744,2.6978501674799918e-06,5.686566234787892e-05,0.992791607811744,0.04309377633671713,0.031085588707079982
93791.0,3.853818733770469e-09,5.253025781712793e-23,0.9999999816958651,1.445031532962317e-08,0.9999999816958651,3.5383386362567e-07,2.5523718017566795e-07
93794.0,0.30383855826535355,0.694941851437458,0.0012043400602382926,1.5250236949094031e-05,0.694941851437458,0.6231230251439098,0.4494882491194238
93795.0,3.3927086213575763e-09,0.00013048162163662426,0.9987309644636385,0.001138550522015247,0.9987309644636385,0.010152454691871577,0.007323448018406507
93796.0,0.9500996242471146,6.773376176718393e-08,0.04931109783733748,0.0005892101817862887,0.9500996242471146,0.2014240055864189,0.1452967069877587
93797.0,0.24458727831566937,0.7518623431684686,0.003538477429863073,1.1901085997165106e-05,0.7518623431684686,0.5789626468880598,0.41763326976267595
93798.0,0.9938111761073801,0.001742285144612218,0.004108457480290056,0.00033808126771820134,0.9938111761073801,0.04251439442017388,0.030667652998191137
93800.0,7.376090687688207e-09,6.275319743524968e-27,1.60157389756101e-14,0.9999999926238949,0.9999999926238949,1.454941117919425e-07,1.0495181678038995e-07
93801.0,0.9819351026377122,0.01425362589932824,0.0015980554401213737,0.0022132160228388585,0.9819351026377122,0.10230914970273668,0.07380045145685239
93805.0,0.9587300320851462,3.815077176264504e-06,0.041180901508986754,8.525132868966097e-05,0.9587300320851462,0.1726108399132313,0.12451240137324879
93806.0,0.0677078908494533,0.8567393173298291,0.07482592115139614,0.0007268706693231156,0.8567393173298291,0.5140233718289976,0.3707894847193593
93811.0,0.025028318102548713,0.9726937483252511,0.0022762381066353814,1.6954655637364742e-06,0.9726937483252511,0.13310207339038066,0.09601285060617051
93812.0,0.9637818292434505,6.33237952768551e-08,0.034448604986086095,0.0017695024466669509,0.9637818292434505,0.16280149586342518,0.1174364553657343
93813.0,0.999731710566699,5.540953697841208e-05,0.0002127967773688223,8.311895544056648e-08,0.999731710566699,0.0026118975918094835,0.001884085851506684
93814.0,0.0024389118198400225,0.996459574691271,0.00110130913277882,2.0435610936273975e-07,0.996459574691271,0.02571158584026883,0.018546988692573367
93815.0,0.7947098345148262,1.24880843195803e-07,0.2052863713588237,3.669245505508852e-06,0.7947098345148262,0.5076949588561377,0.3662244997130381
93817.0,0.007001778498470849,0.9890207616932779,0.003973968417810949,3.4913904387481533e-06,0.9890207616932779,0.06767063454632057,0.04881404443689302
93819.0,0.041874558331190845,0.9580635517429025,3.675051039118006e-05,2.513941551659294e-05,0.9580635517429025,0.1745572760663064,0.12591645826597297
93823.0,0.004992055702745871,0.8224686709075746,0.1725301595663516,9.113823329019715e-06,0.8224686709075746,0.4904776037299287,0.35380480328413516
93824.0,0.23006045126987937,0.7698324035327192,0.00010465606206150647,2.489135339528142e-06,0.7698324035327192,0.5404197743638859,0.3898304642365554
93825.0,0.9214832310834739,0.001958744108582993,0.0764666986231445,9.13261847982596e-05,0.9214832310834739,0.2850016455616336,0.20558523034848142
93827.0,0.9959460109977212,0.00021481031331240595,0.0037487024649053707,9.047622406058799e-05,0.9959460109977212,0.027643914914402268,0.019940869478882302
93829.0,0.11517096114957544,0.8847932086637588,3.535029045994013e-05,4.798962045855359e-07,0.8847932086637588,0.35759252295397986,0.2579484797623398
93830.0,2.426555121323002e-201,9.72462122841435e-306,6.846006578751382e-221,1.0,1.0,1.067249536536822e-13,7.698578068763589e-14
93831.0,0.9419751329024966,0.05083720559535351,0.00701241376666416,0.00017524773548516267,0.9419751329024966,0.2440562249911261,0.17604935274638936
93832.0,0.5464526472593105,4.873417029754278e-07,0.0035049612287062822,0.4500419041702806,0.5464526472593105,0.709368165224866,0.5117009670672086
93834.0,0.00045529243375713643,3.914629221544887e-26,0.9995443715902004,3.3597604162614884e-07,0.9995443715902004,0.003963812520872871,0.0028592863334384357
93837.0,0.4050414838976896,0.593103242778465,0.0018551311228170442,1.4220102950377318e-07,0.593103242778465,0.687562581960684,0.49597156364774514
93839.0,0.5915946269622212,1.361912225420286e-09,0.408393440175134,1.1931500731623205e-05,0.5915946269622212,0.6764094337621546,0.4879262678495861
93840.0,0.001254690033071712,0.9941762888514167,0.0045687728991995954,2.482163117875725e-07,0.9941762888514167,0.038811793628171054,0.027996791097684125
93841.0,0.244356969252269,0.7532429170424622,0.0023801034152975396,2.0010289970263675e-05,0.7532429170424622,0.572367888817814,0.41287615738077293
93843.0,0.027169812352493595,0.9728010800546855,1.0410598476996019e-05,1.869699434326808e-05,0.9728010800546855,0.12511342415804447,0.0902502582907241
93845.0,0.33950785303823816,0.6539012729159956,0.006357615138239453,0.00023325890752753264,0.6539012729159956,0.678640976654616,0.48953598578182866
93846.0,0.03964492343804588,0.9602532942863666,0.00010152673831916681,2.555372693298218e-07,0.9602532942863666,0.16784914504985554,0.12107756459043945
93847.0,0.9932793557291396,0.006655889142565227,6.441829127902875e-05,3.368370151774343e-07,0.9932793557291396,0.040685675730386325,0.029348511305722403
93848.0,0.38147405884651875,0.6176144405936276,0.0005479770207182929,0.0003635235391363842,0.6176144405936276,0.6722479660129075,0.48492440340725707
93849.0,0.08418033074016237,0.9141518326633393,0.0016673912848909746,4.453116069598986e-07,0.9141518326633393,0.301053939664732,0.21716451289719702
93850.0,0.8686851971378706,0.1278381671208552,0.0025752568911122566,0.0009013788501624659,0.8686851971378706,0.40692383012391586,0.2935334958696582
93851.0,0.9948365592240166,0.00467227632120342,0.00045554027943841993,3.56241753399619e-05,0.9948365592240166,0.034091849784533,0.02459207130943862
93852.0,0.014862807109272371,0.9850336723783949,0.00010211894347325433,1.4015688601472357e-06,0.9850336723783949,0.07836703848459281,0.0565298688954383
93855.0,0.0006163364973737084,0.9531813872865771,0.046191553529399375,1.0722686648425954e-05,0.9531813872865771,0.19242069366836087,0.1388021902598793
93856.0,0.9966297992103882,0.0028371626649807977,0.0005183890842393494,1.4649040390753957e-05,0.9966297992103882,0.0240888968300258,0.017376465998582048
93861.0,0.278655420141479,0.7110574609544509,0.010268391257409335,1.872764666029156e-05,0.7110574609544509,0.6457517610515267,0.4658114316571762
93863.0,6.822734329765861e-14,7.494805265476821e-61,0.9999999999997904,1.4308098533459999e-13,0.9999999999997904,6.546861300032855e-12,4.7225621654726356e-12
93866.0,0.004838767404313739,0.9923360451242554,0.0028237811933706065,1.4062780614859063e-06,0.9923360451242554,0.05002407801259826,0.036084744636909076
93868.0,0.69112116243775,0.013706018545830844,0.29500182601872005,0.00017099299769969022,0.69112116243775,0.6757392706972961,0.487442847384457
93869.0,4.83084450211659e-08,8.559585471830925e-14,1.5203612061800316e-07,0.9999997996553477,0.9999997996553477,3.400972334488839e-06,2.4532829605838046e-06
93870.0,0.0002911726039939446,0.9996786701189089,3.0115998017858997e-05,4.1279079374202736e-08,0.9996786701189089,0.0030061105470664804,0.0021684503893084103
93871.0,0.03770267961048551,0.9604631793868421,0.0009745780485165522,0.0008595629541542001,0.9604631793868421,0.17515999624622308,0.12635122897327775
93875.0,0.12845852064517047,0.8672023446638264,0.00416918335257671,0.00016995133842769234,0.8672023446638264,0.4115000454457914,0.2968345374451132
93877.0,0.996355885815588,0.0021295192969962534,0.0011720819821214082,0.0003425129052936124,0.996355885815588,0.027381298580868577,0.019751431837859556
93878.0,0.05078253660968332,0.9490935144417906,0.00012151328792196122,2.435660603757494e-06,0.9490935144417906,0.20205742436983565,0.14575362205657935
93883.0,0.9793321092308943,0.020314402391884825,0.0003461912981199292,7.297079099416164e-06,0.9793321092308943,0.10245131390116852,0.07390300124888717
93887.0,0.12479270796057523,0.8558696433573609,0.019326730506574866,1.091817548823624e-05,0.8558696433573609,0.46930457941448095,0.3385316946938762
93888.0,0.00029100225138930976,0.9994095002488269,0.0002833581550364687,1.6139344747343065e-05,0.9994095002488269,0.005452499309819201,0.003933146857363329
93890.0,0.008125750077500426,0.9910672120282621,0.000806923061927711,1.1483231020453517e-07,0.9910672120282621,0.05374867754122415,0.03877147527153205
93891.0,0.9960209353831951,1.4801219921104223e-07,0.003955509938433321,2.3406666170689134e-05,0.9960209353831951,0.026107473844348566,0.01883256152269
93892.0,0.9673393200007645,2.568234547294075e-08,0.03092252631526713,0.001738128001623643,0.9673393200007645,0.15066263763129895,0.10868012007896295
93893.0,1.656804238378345e-07,8.87893041952492e-19,2.8364022473744205e-10,0.9999998340359357,0.9999998340359357,2.7590018702760556e-06,1.9901991580253205e-06
93894.0,0.1220359356329463,0.8712920481050259,0.006669909577303241,2.1066847238581827e-06,0.8712920481050259,0.41018493533489636,0.2958858860275076
93895.0,0.07658023838742135,0.9073364658985735,0.016074366113710895,8.929600294256158e-06,0.9073364658985735,0.35149711679526136,0.25355157364364617
93899.0,0.07010588684074834,0.3669127916732085,0.5538914471097451,0.009089874376298306,0.5538914471097451,0.9241614171299357,0.6666415467371375
93902.0,3.3412758898981066e-08,5.662280552319508e-05,0.9999307278621365,1.261591958215361e-05,0.9999307278621365,0.0007658794475369986,0.0005524652404402035
93903.0,1.4775905419757788e-10,6.064557868329944e-24,0.9999999660819375,3.377030385693668e-08,0.9999999660819375,6.182363250017996e-07,4.4596324008875693e-07
93906.0,0.7226131589788254,0.2248319250057875,0.0524165344267882,0.00013838158859941175,0.7226131589788254,0.7260845965402843,0.523759323347266
93907.0,0.005902771939195628,0.9937276453893751,0.0003692323892610807,3.5028216712854446e-07,0.9937276453893751,0.03947128536078104,0.02847251382375597
93909.0,2.2120458741138148e-20,1.7138471903980116e-42,0.9999999999871712,1.2830625018784103e-11,0.9999999999871712,3.346833356096294e-10,2.4142299427609447e-10
93913.0,0.0005825258819218442,0.9992644639540214,4.387108615950445e-06,0.00014862305544042728,0.9992644639540214,0.006438099140775941,0.0046441068515744735
93914.0,0.8331529934818771,0.1559661488772305,0.010745098378457133,0.00013575926243348374,0.8331529934818771,0.49180501324181375,0.3547623268441478
93915.0,0.903935044800849,0.09330331974448375,0.0026136618894576427,0.0001479735652109425,0.903935044800849,0.32944989010289094,0.23764786133642737
93916.0,0.3273582659139828,0.641276424923559,0.03134997785445337,1.5331308005564056e-05,0.641276424923559,0.7591972699963561,0.5476450682400912
93918.0,0.7546432474772098,0.22649142729445162,0.017311114021216132,0.0015542112071209775,0.7546432474772098,0.6290620943841687,0.45377238198963266
93920.0,0.002028304169849522,0.9976184208630703,0.00035173603413706786,1.5389329421215345e-06,0.9976184208630703,0.017773177041688508,0.012820637189442794
93923.0,1.304065625779072e-14,2.1185869291405014e-05,0.9999785528126055,2.613180899737195e-07,0.9999785528126055,0.00025341395095949314,0.00018279952517066987
93924.0,0.2981553089712333,0.09508427277727678,0.00897539664392708,0.5977850216075611,0.5977850216075611,0.9344206384843574,0.6740420106228406
93926.0,0.7680872834555257,0.21808721957541033,0.013723498370416157,0.0001019985986472119,0.7680872834555257,0.5945702845576881,0.4288918004956582
93927.0,0.06911844244999962,0.9307316728587495,0.00014429721362873676,5.587477623120841e-06,0.9307316728587495,0.2528354690262231,0.1823822386624836
93929.0,0.0025296110342416214,0.0003514234256457477,1.8050371858957947e-06,0.9971171605029288,0.9971171605029288,0.020823893521470425,0.015021263957712598
93930.0,0.1814422671113999,1.5713933023711115e-12,0.014538669033937846,0.8040190638530902,0.8040190638530902,0.5465836963370649,0.39427679406812133
