SEQN,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,max_posterior,entropy_raw,entropy_norm
93711.0,1.902613430372211e-07,0.0001681232512029656,0.9998316864461835,4.127210884828936e-11,0.9998316864461835,0.001632372416535186,0.0011775077951096233
93717.0,0.0002494426078798033,7.954777715649026e-09,0.9997505494206965,1.664627239059241e-11,0.9997505494206965,0.002319014372031683,0.0016728152671401716
93731.0,2.3514299104642823e-05,1.6390161336744276e-08,0.9937872171774278,0.006189252133305452,0.9937872171774278,0.037916332350845454,0.027350852325631256
93738.0,7.741342803149238e-07,7.655563922210526e-12,0.9999992252050536,6.530115291134668e-10,0.9999992252050536,1.1682047802222044e-05,8.42681621584678e-06
93755.0,6.848865123830083e-05,0.16213726902470507,2.2221560964362986e-07,0.8377940201084471,0.8377940201084471,0.44391371016631587,0.32021605411978227
93758.0,0.999999999822542,1.7687998553994313e-10,2.82499761223102e-19,5.765096131151438e-13,0.999999999822542,4.165676400867405e-09,3.0049003427397956e-09
93760.0,4.5385402740441304e-05,0.0007175133606325277,1.048371873021628e-08,0.99923709075291,0.99923709075291,0.00641127443403087,0.004624756915877266
93763.0,0.06959522641398078,1.2782498018719693e-11,0.9304047735732328,5.370728534563948e-15,0.9304047735732328,0.25259066309866496,0.18220564851364943
93766.0,0.998836200259768,0.00010280818860540467,1.2445296570130865e-06,0.0010597470219689405,0.998836200259768,0.0093830707118756,0.006768454792166702
93770.0,0.00036641103367166417,4.232020435276402e-05,0.9995909681555082,3.0060646917460567e-07,0.9995909681555082,0.003738591651255088,0.0026968238175872983
93775.0,7.645150951478672e-09,0.9976894827073811,5.8687982758972305e-09,0.002310503778669632,0.9976894827073811,0.016333527377538855,0.011782149473899712
93776.0,3.799432630659365e-10,0.9999996674269183,2.0528771450649246e-09,3.301402597798066e-07,0.9999996674269183,5.308810298513473e-06,3.829497145342823e-06
93780.0,0.0007056275073254291,0.15634500291968054,2.6337719582117318e-06,0.8429467358010345,0.8429467358010345,0.4393007711648647,0.3168885220091238
93789.0,1.032791543600388e-14,0.9991771673042034,0.0008126726867623725,1.0160009024369118e-05,0.9991771673042034,0.0067216183980515105,0.004848622764808467
93801.0,0.9995521031834725,9.74764522717505e-15,0.00041287863077553124,3.5018185740700336e-05,0.9995521031834725,0.004024368220945787,0.002902968037534814
93806.0,0.0007418867862716266,2.3354900783672977e-07,0.9817941700247401,0.017463709639982287,0.9817941700247401,0.09407556424344253,0.06786117500142282
93811.0,0.006748930944088872,0.0022033336139715494,0.9870395734727253,0.004008161969215614,0.9870395734727253,0.08221199485866654,0.05930341864209358
93814.0,5.815732993939745e-11,0.9998834707273008,2.9856127279781426e-06,0.00011354360181485264,0.9998834707273008,0.0011858592218878786,0.0008554166093050437
93815.0,0.0002846669465885558,0.4531638121779494,0.015310322185884594,0.5312411986895783,0.5312411986895783,0.7610201298987831,0.5489599837108246
93823.0,3.261632611254541e-05,0.9256370530510364,1.0984811832036741e-05,0.07431934581102013,0.9256370530510364,0.26517372147416657,0.19128240647242567
93834.0,0.999999999925361,4.712814369302632e-60,3.1996514573689115e-63,7.464014087260225e-11,0.999999999925361,1.81519552980836e-09,1.3093867945491678e-09
