SEQN,P_cluster_1,P_cluster_2,max_posterior,entropy_raw,entropy_norm
93705.0,0.8955481981002448,0.10445180189975627,0.8955481981002448,0.3347558993273415,0.4829506758678807
93708.0,0.00021466460417343106,0.9997853353958253,0.9997853353958253,0.0020277919150758334,0.002925485339834639
93709.0,0.004575668583270922,0.9954243314167308,0.9954243314167308,0.02921432208851229,0.042147357600029585
93711.0,0.00011892296987287512,0.9998810770301285,0.9998810770301285,0.0011936268901197025,0.0017220395950474105
93713.0,0.0002900616327498761,0.9997099383672516,0.9997099383672516,0.0026526925532069506,0.0038270263915147506
93714.0,0.011369096337219336,0.9886309036627804,0.9886309036627804,0.062202034131212044,0.08973856617430566
93715.0,0.004953357592803013,0.9950466424071968,0.9950466424071968,0.031231954143845365,0.04505818536059722
93716.0,0.0007055898826319075,0.9992944101173681,0.9992944101173681,0.005825437221309286,0.00840432939019289
93717.0,5.6141122416010776e-05,0.9999438588775846,0.9999438588775846,0.0006056287538269116,0.0008737375997658482
93718.0,9.909194064613208e-06,0.9999900908059353,0.9999900908059353,0.0001240833500480806,0.0001790144337712552
93721.0,0.3573236074795101,0.6426763925204909,0.6426763925204909,0.6518627326660564,0.9404391317576477
93722.0,4.2798578934817396e-05,0.9999572014210641,0.9999572014210641,0.0004733088107387869,0.0006828402740619009
93723.0,2.595632920912394e-05,0.999974043670789,0.999974043670789,0.000300031340333921,0.00043285372681101667
93726.0,0.19541370729055868,0.8045862927094404,0.8045862927094404,0.49397835873937174,0.712660128459761
93728.0,0.026261670306238542,0.9737383296937633,0.9737383296937633,0.12149692561593259,0.17528301206936123
93729.0,4.991998922442778e-05,0.9999500800107741,0.9999500800107741,0.0005443806818320523,0.0007853753100348545
93730.0,0.0028867223947016633,0.9971132776052984,0.9971132776052984,0.019763046492305023,0.02851204916730648
93731.0,0.00025159071554693165,0.9997484092844546,0.9997484092844546,0.002336669182084128,0.003371101041190842
93735.0,1.0,0.0,1.0,3.56489994195358e-14,5.143063467521784e-14
93738.0,0.00019208026071724802,0.9998079197392835,0.9998079197392835,0.0018358073227690945,0.0026485101205866173
93742.0,0.09080988111563859,0.9091901188843613,0.9091901188843613,0.30440759879062174,0.4391673331841472
93743.0,8.638037922299827e-05,0.9999136196207775,0.9999136196207775,0.0008946162616486585,0.001290658444179143
93746.0,8.482711499633908e-06,0.9999915172884998,0.9999915172884998,0.00010753937285619697,0.00015514651991994458
93752.0,0.0009733798108248864,0.9990266201891759,0.9990266201891759,0.007723038135008969,0.011141988817973788
