SEQN,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,P_cluster_5,P_cluster_6,P_cluster_7,max_posterior,entropy_raw,entropy_norm
93705.0,0.9371295240618481,0.05473119587213249,1.4616837077797144e-28,0.00813891272746514,5.591398873601108e-17,1.928275874773066e-12,3.67336627514415e-07,0.9371295240618481,0.259025627384375,0.133112840544115
93708.0,0.6290384074602734,0.038324683802068486,0.001742765433460183,2.5299895046103676e-05,0.3181388135160362,2.3849557033624188e-09,0.012730027508159335,0.6290384074602734,0.8478446384056626,0.4357059542637507
93709.0,0.1585804493132305,0.7872964110447952,0.01984124789961596,0.029177930346616286,6.427162716734076e-07,1.7608973933093738e-06,0.005101557782077578,0.7872964110447952,0.6881690588552665,0.3536489386158729
93711.0,0.016235667213159184,0.055148668588301766,0.012245673568676556,8.605826729824827e-06,0.916146314649943,6.316888349535957e-05,0.00015190126969352445,0.916146314649943,0.36290003994183795,0.18649372897202685
93713.0,0.00018447740223859365,0.049472666282377425,0.005769527178549098,1.1095703486257986e-05,0.00087104727016135,0.9435318147881337,0.00015937137505418275,0.9435318147881337,0.2425607902836642,0.12465158805067177
93714.0,9.364242891185092e-05,0.948910288115697,2.62882305984064e-07,0.023198332813989652,2.5290188591679157e-11,0.00916039598887069,0.01863707774493513,0.948910288115697,0.2551579944746648,0.13112527040292027
93715.0,0.0002397879253549446,9.916865788451036e-05,1.0790629283899727e-06,8.240141217780204e-06,0.999427438536962,0.00022428036913349936,5.306517580209579e-09,0.999427438536962,0.00548134730035687,0.0028168552916063034
93716.0,0.0017599916455702958,0.016790460479980847,0.14934835386357642,1.8445786978011987e-05,0.09575808392965603,0.735340845394749,0.0009838188994883866,0.735340845394749,0.8214805205123439,0.4221574777803335
93717.0,0.12016600586637075,0.19590338941718546,0.27969022480516686,6.989525233960579e-06,0.06461042106794425,0.3146131922891717,0.025009777028928686,0.3146131922891717,1.5634578297798354,0.8034583870888653
93718.0,0.003944569380232694,0.03809829111024937,0.9200338892281587,2.0147220725560053e-07,0.029229832089024837,0.004806644062201279,0.00388657265792521,0.9200338892281587,0.37349174109665517,0.1919367866383632
93721.0,5.396273117591182e-05,0.0039684594458541346,2.7221430679371134e-06,0.0003843623092104765,0.0022957077402197797,0.9502031235993331,0.04309166203113736,0.9502031235993331,0.22351568603842473,0.1148643405487841
