SEQN,P_cluster_1,P_cluster_2,max_posterior,entropy_raw,entropy_norm
93705.0,1.3173838610880306e-08,0.9999999868261612,0.9999999868261612,2.5221357346801593e-07,3.6386727168719083e-07
93708.0,0.9470060221417599,0.05299397785824004,0.9470060221417599,0.207238204077433,0.2989815293052476
93709.0,0.03188323847270946,0.9681167615272912,0.9681167615272912,0.14122875130618143,0.20375001914036867
93711.0,0.9950575717222244,0.004942428277775814,0.9950575717222244,0.03117398687676306,0.04497455627184369
93713.0,0.9936982258552787,0.0063017741447206465,0.9936982258552787,0.03821248725321765,0.05512896586024983
93714.0,0.014733115998843067,0.9852668840011556,0.9852668840011556,0.07676328430845496,0.11074600959415755
93715.0,0.9986465653978869,0.0013534346021127522,0.9986465653978869,0.01029210240636456,0.014848365101983518
93716.0,0.9984577537050549,0.001542246294945368,0.9984577537050549,0.011526353642313334,0.01662901323929789
93717.0,0.9982069974734838,0.0017930025265145654,0.9982069974734838,0.013130097682991101,0.01894272681363893
93718.0,0.9986605068918094,0.001339493108190573,0.9986605068918094,0.010199964040774327,0.014715437538870875
93721.0,0.931583425758907,0.06841657424109182,0.931583425758907,0.24952372375156356,0.3599866388405284
93722.0,0.9962297409652391,0.003770259034761646,0.9962297409652391,0.024803493851794256,0.03578387757670347
93723.0,0.9996821721809475,0.00031782781905246535,0.9996821721809475,0.002877562806241729,0.004151445590411472
93726.0,0.8012486679976154,0.19875133200238396,0.8012486679976154,0.49866652209156176,0.7194237184788429
93728.0,0.11683100722399468,0.8831689927760051,0.8831689927760051,0.36056307824015155,0.5201825649047259
93729.0,0.9978521178727495,0.002147882127250821,0.9978521178727495,0.015340600010478123,0.022131807559377967
93730.0,0.983666282246023,0.016333717753975675,0.983666282246023,0.08340505967716061,0.12032806598128766
93731.0,0.9938151262838506,0.006184873716148586,0.9938151262838506,0.037619802750191764,0.054273902866922644
93735.0,8.234742344898284e-91,1.0,1.0,3.56489994195358e-14,5.143063467521784e-14
93738.0,0.9877817052229343,0.01221829477706415,0.9877817052229343,0.06596274547237334,0.09516412577641394
93742.0,0.003960564764633047,0.9960394352353663,0.9960394352353663,0.025860055114901522,0.0373081732713837
93743.0,0.9768019902473437,0.023198009752656634,0.9768019902473437,0.11023692005883806,0.15903825789175877
93746.0,0.9971412949630734,0.002858705036927985,0.9971412949630734,0.01959915544839099,0.02827560437100559
93752.0,0.9863806198654382,0.01361938013456078,0.9863806198654382,0.07203863084810129,0.10392977547698644
93754.0,0.9674736783365089,0.03252632166348969,0.9674736783365089,0.1434171133859105,0.20690715826046327
93755.0,0.9994906299841219,0.000509370015879187,0.9994906299841219,0.004371454801735692,0.006306676163934329
93756.0,0.504611349958341,0.49538865004165816,0.504611349958341,0.6931046508601402,0.9999386426130007
93757.0,0.9934700084726021,0.006529991527397211,0.9934700084726021,0.03936329504933693,0.056789230560727474
93758.0,0.00014409403965884537,0.9998559059603387,0.9998559059603387,0.0014186018388157925,0.0020466098378555085
93759.0,0.8186691305000161,0.18133086949998453,0.8186691305000161,0.47340555888531405,0.6829798521331107
93760.0,0.8569329960434082,0.14306700395659316,0.8569329960434082,0.4104921591370362,0.5922150023108053
93761.0,0.9769733544805809,0.02302664551942004,0.9769733544805809,0.1095953310289061,0.15811264057998717
93762.0,0.9616069331098032,0.0383930668901977,0.9616069331098032,0.1628031645859696,0.23487531818920807
93763.0,0.9995333971710155,0.0004666028289828766,0.9995333971710155,0.004045352645725601,0.0058362102006353726
93766.0,0.9121233562526213,0.08787664374737764,0.9121233562526213,0.29759742920156035,0.4293423352903955
93767.0,0.9970599367637095,0.0029400632362895215,0.9970599367637095,0.020074318748757394,0.028961120108056633
93768.0,0.9421560472078914,0.0578439527921084,0.9421560472078914,0.22099340137847157,0.31882608423790515
93770.0,0.9858672325057617,0.014132767494237171,0.9858672325057617,0.07422754667926833,0.10708771349153447
93772.0,2.1083245936310303e-05,0.9999789167540639,0.9999789167540639,0.0002480870044832235,0.00035791389107694456
93773.0,0.9830647748289354,0.016935225171064796,0.9830647748289354,0.08585894421479015,0.1238682730346399
93774.0,0.9992867232727219,0.0007132767272772482,0.9992867232727219,0.00588116945294499,0.008484734004391396
93775.0,0.9985589735650927,0.0014410264349063744,0.9985589735650927,0.010867758453473389,0.015678861226405168
93776.0,0.999249282504202,0.0007507174957984829,0.999249282504202,0.00615145850763235,0.008874678683195416
93780.0,0.9886694679531949,0.011330532046803937,0.9886694679531949,0.06202976205957329,0.08949003011086877
93782.0,0.9998740292573643,0.00012597074263390908,0.9998740292573643,0.0012571121634034751,0.0018136294839833898
93783.0,0.9999285949672349,7.140503276592e-05,0.9999285949672349,0.0007531164852765211,0.001086517418520163
93785.0,2.798990565442869e-11,0.9999999999720117,0.9999999999720117,7.08121509508518e-10,1.0216033901147457e-09
