SEQN,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,P_cluster_5,max_posterior,entropy_raw,entropy_norm
93711.0,9.569455256597321e-11,0.00817295321966806,0.9918270427867735,2.8519889197463065e-09,1.0458758312097524e-09,0.9918270427867735,0.047426320047689915,0.02946762946323462
93717.0,2.787055921638721e-06,0.0016887427978996494,0.998308449864763,6.800345467198396e-09,1.3481070355686147e-08,0.998308449864763,0.012506685944940806,0.007770840893157413
93731.0,4.141436304825379e-05,2.0704788196466056e-05,0.6322594020456219,0.36767847880313365,8.404818836485835e-16,0.6322594020456219,0.6583834540158172,0.409076640316049
93738.0,3.0220122251408858e-05,0.0001442152916268764,0.9998210647062781,3.5675386387326796e-06,9.323412032716391e-07,0.9998210647062781,0.0018265855181720904,0.0011349213934009905
93755.0,5.440853769880597e-05,2.040806189208146e-05,7.60969452534124e-11,0.999925183324309,3.411995204740289e-15,0.999925183324309,0.0008294510170387516,0.0005153668933921763
93758.0,3.4676394806537315e-11,9.920475847271414e-16,5.120115045599116e-19,5.924064933275917e-15,0.9999999999653184,0.9999999999653184,8.701270525527162e-10,5.406403352563899e-10
93760.0,1.4030681402251805e-05,1.6300611466150618e-13,1.1999791489388518e-10,0.9092396942317119,0.09074627496672338,0.9092396942317119,0.30443052053473296,0.18915331755439688
93763.0,0.018583156023325633,4.1791392951237687e-29,0.9814168344052713,9.571387944666194e-09,1.4934869854905833e-14,0.9814168344052713,0.09247275841935067,0.057456555301034044
93766.0,7.270199467277514e-05,3.2918071206403944e-13,6.000123425103369e-09,1.2502370578147502e-05,0.9999147896342951,0.9999147896342951,0.0009192546141202049,0.0005711650055079988
93770.0,9.660897383699022e-07,0.9955445531996697,0.004367344734852861,8.713597274764384e-05,2.9914842096870747e-12,0.9955445531996697,0.02900384222155125,0.018021100408704853
93775.0,7.168667008046228e-12,0.9941711962457882,3.5022020626746545e-11,0.005828346517094905,4.5719492749768947e-07,0.9941711962457882,0.03580542908147727,0.0222471639352185
93776.0,2.0186289427948022e-13,0.9995109595147772,2.9797463128791426e-11,5.640754165268775e-07,0.0004884763798060503,0.9995109595147772,0.004221288685506553,0.0026228341291664437
93780.0,0.003118022299615215,4.377594396956028e-23,1.4447004970191384e-10,0.9968819749401938,2.615719968162452e-09,0.9968819749401938,0.02110593732474384,0.013113856186488984
93789.0,8.912231334774728e-18,0.9999997087676247,1.74179669221944e-07,3.684781649274188e-10,1.1668422660872233e-07,0.9999997087676247,4.872748609573841e-06,3.027608938455002e-06
93801.0,4.252603437453739e-05,1.173850554999196e-14,0.003084328934944712,0.9968731450305184,1.5203723812311325e-13,0.9968731450305184,0.021381807156409794,0.013285263750294119
93806.0,0.00012253338343921487,7.498728396968651e-10,0.8856653637600219,0.1142121010464401,1.060225826143204e-09,0.8856653637600219,0.3564435095134451,0.2214708046577348
93811.0,1.817773452945693e-05,0.8919064542854166,0.026226445921129837,0.08184892205881454,1.1116478080300147e-13,0.8919064542854166,0.40257537413401423,0.25013414374286896
93814.0,1.251240587060765e-10,0.999581153390655,9.18554501619996e-09,0.0004188127059104017,2.4592763974347615e-08,0.999581153390655,0.0036769241580980974,0.002284601431152537
93815.0,0.0019833742025486627,1.3028431419489798e-24,0.0001713225284393097,0.9978453021366136,1.132399994387569e-09,0.9978453021366136,0.015980550608544128,0.00992927436658633
93823.0,1.9861853186449728e-05,1.6595273097888803e-09,0.0004115055703267583,0.9995686307952055,1.217527091400666e-10,0.9995686307952055,0.0038543200348905822,0.0023948236866505406
93834.0,1.0,0.0,4.7282741783954506e-144,1.6945896320890533e-81,1.3752385830939038e-39,1.0,1.4259599767814278e-13,8.85998748858114e-14
93837.0,3.5088389644479313e-05,0.5749862103546894,3.0538253254101776e-10,0.42497606449577713,2.636454507259495e-06,0.5749862103546894,0.6822580201178321,0.42391074228268355
93840.0,2.9635808889753733e-06,0.04283364237481624,0.9568697356311119,0.0002936576605464669,7.526373987691992e-10,0.9568697356311119,0.17955702596560644,0.1115650529780586
93843.0,1.2279001185714563e-16,0.9999969346600445,3.054825849702471e-06,7.591125574829241e-14,1.0514029811678626e-08,0.9999969346600445,4.205107190876511e-05,2.6127800012594103e-05
93847.0,1.695545225400844e-06,8.474525533263244e-06,5.044879246576269e-12,0.9999898294493939,4.748013216484196e-10,0.9999898294493939,0.00013167967879564656,8.181718460732376e-05
93866.0,7.071003280877328e-06,0.6995718666711263,0.2998177070658567,0.0006033552587390229,9.97951652017818e-13,0.6995718666711263,0.6156588956281362,0.38253037962615094
93870.0,7.594492435061004e-13,0.9999921289520451,1.4595554922996484e-09,7.869522682662082e-06,6.495726110350405e-11,0.9999921289520451,0.00010038892553813578,6.237514647974734e-05
93875.0,1.802028053267916e-07,0.0006784423706275643,0.9993213743225233,2.2226272287750105e-09,8.814174620275573e-10,0.9993213743225233,0.005630975902266426,0.003498722043741461
93888.0,2.384567973733448e-13,0.9998178463755457,0.00018064751417493872,1.5061100412238144e-06,7.187700907847319e-16,0.9998178463755457,0.0017593221376689205,0.001093128305277795
93890.0,5.570551217899866e-09,0.6093310699684198,0.39032696530285127,0.0003419582848763771,8.733010160433553e-10,0.6093310699684198,0.671796003540037,0.41741032589695765
93891.0,0.9998583230017105,2.8146718772463586e-21,1.9653637151127224e-17,0.00013096300777822942,1.0713990508943636e-05,0.9998583230017105,0.0014351647407935307,0.0008917179903032107
93916.0,6.122407378340709e-07,0.001098335706414516,0.9989010454444542,1.4263818175928877e-10,6.465753446756944e-09,0.9989010454444542,0.008591249176651012,0.005338043244959775
93926.0,3.8363892343567843e-08,1.040216720090817e-09,0.00030637693201977925,0.9996935836638641,6.29632750139241e-15,0.9996935836638641,0.0027858481405472423,0.001730944772099937
93932.0,2.3536364153446583e-05,3.185994063122972e-11,8.431298688351495e-05,0.0014648652943759592,0.9984272853227275,0.9984272853227275,0.012172941436428046,0.0075634737708010075
93950.0,0.0008092842781210145,3.2784888831357273e-06,0.0013551255021803845,0.9975662509354868,0.00026606079532833334,0.9975662509354868,0.019372988827560375,0.012037114745396317
93957.0,8.52328938135932e-08,1.8416030553001801e-09,1.808614946441871e-09,1.7908303598040705e-05,0.9999820028132911,0.9999820028132911,0.00021520004853823433,0.00013371130807572913
93964.0,2.5311813495192782e-06,4.0512729267229775e-10,0.004029268640822586,0.9959681997727008,3.6745864197075934e-16,0.9959681997727008,0.02627436309249655,0.016325179672671827
93968.0,3.21969307775749e-36,7.334815167721419e-61,3.7471391681488644e-65,2.664645211427885e-78,1.0,1.0,1.421519084682928e-13,8.832394674567064e-14
