SEQN,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,P_cluster_5,P_cluster_6,P_cluster_7,max_posterior,entropy_raw,entropy_norm
93711.0,2.1302091658218096e-07,2.961482430457513e-12,4.733637543717667e-05,1.5322110980203255e-14,0.0686917002260652,0.0,0.931260750374603,0.931260750374603,0.2507603824830469,0.12886534489004248
93717.0,4.7926826077048374e-05,1.1048331393095993e-11,1.547751187275168e-07,2.599642731051946e-11,0.09850839639756126,0.0,0.9014435219641976,0.9014435219641976,0.3223153641700519,0.16563733136729222
93731.0,1.1735295339880062e-05,9.33153833959465e-06,1.249575162966047e-08,3.0754246568739284e-08,0.9999590740168419,0.0,1.9815899481490253e-05,0.9999590740168419,0.0004975800513555242,0.00025570556358785933
93738.0,1.5778001780352176e-05,5.6558305016781645e-12,1.9174423261804934e-13,3.145505588564453e-07,0.9844948287725998,0.0,0.015489078669215227,0.9844948287725998,0.08011610093937362,0.04117153146987173
93755.0,1.188690201576426e-05,0.9985928625500815,0.0013333830847080306,6.186493243971058e-05,2.46104932843481e-09,0.0,6.970616805344172e-11,0.9985928625500815,0.010967545262455459,0.0056362033302410726
93758.0,0.9999999999875442,1.26681364505743e-12,1.0706527633705484e-11,4.85881697019321e-13,3.507859210553885e-23,0.0,1.2492965813649363e-26,0.9999999999875442,3.314946323012854e-10,1.7035454204410058e-10
93760.0,2.9321000868885413e-06,0.9998895201115977,2.642435481320919e-12,0.00010754776114998473,2.451933025941545e-11,0.0,2.364407645083163e-15,0.9998895201115977,0.0011305545884887794,0.0005809901289828994
93763.0,0.002899048193765333,1.5134237136259412e-16,3.9064919699320366e-28,7.033228624046357e-15,2.087108661597758e-06,0.0,0.997098864697566,0.997098864697566,0.019864441129373477,0.010208303368486528
93766.0,0.9991771124854664,0.0007560331835890282,3.5673083292115645e-09,1.976142194657928e-05,4.7089341473929674e-05,0.0,2.1638377950730495e-13,0.9991771124854664,0.0069397745747586505,0.003566338650388212
93770.0,6.061580489703981e-06,1.7387428013620787e-07,0.003976153772824529,1.15128687650136e-15,0.00014036529784723731,0.0,0.995877245474559,0.995877245474559,0.027412941686067015,0.014087465291948478
93775.0,1.1902143917398064e-08,0.00235552098148668,0.9976444485907535,2.1161445148685848e-13,1.8525405064975486e-08,0.0,1.1457239508363277e-15,0.9976444485907535,0.016606563725442374,0.008534085570962469
93776.0,1.9895661594594186e-08,3.157667231891512e-05,0.9999684033377289,4.907273428556919e-20,9.417629507526881e-11,0.0,1.1400745800608115e-13,0.9999684033377289,0.00035918310378739036,0.00018458360164356203
93780.0,0.00022606148926184892,0.9995923419788416,3.9029794709834674e-20,0.0001815603860192927,3.614587680803611e-08,0.0,7.473755779509915e-17,0.9995923419788416,0.0038698605315592004,0.0019887149123703953
93789.0,5.50613766934575e-07,4.4361903174551625e-10,0.9999068979261442,2.3274427875352755e-27,9.255101061624034e-05,0.0,5.851996471208636e-12,0.9999068979261442,0.0009606337227574173,0.0004936680777495194
93801.0,0.00013763123036833862,7.088551626866707e-09,2.6590876207896193e-20,6.678251582218836e-07,0.999861693847923,0.0,8.000018721046033e-12,0.999861693847923,0.0013715957785033015,0.0007048607969741944
93806.0,1.2692092920316198e-09,0.0018138533441498215,4.383723367651641e-15,1.2452811015251286e-05,0.000929275569017206,0.0,0.997244417006603,0.997244417006603,0.020829405728654004,0.010704197076502282
93811.0,6.935971647061285e-07,0.002014800722987583,0.016297636497925982,1.5412029691194476e-07,0.011246005754664624,0.0,0.9704407093069619,0.9704407093069619,0.15919886946848816,0.08181203512699438
93814.0,1.980905578544757e-09,0.0004847087705052899,0.9995152785922872,1.0255741247807432e-12,1.625085174678357e-09,0.0,9.030191391794814e-09,0.9995152785922872,0.004184122860826691,0.002150213802450216
93815.0,0.001889347051689226,0.9980621174915789,4.966629151346971e-19,2.3189394643829376e-12,4.598740902082897e-05,0.0,2.5480453914448532e-06,0.9980621174915789,0.014277191132397664,0.007337024856635264
