SEQN,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,P_cluster_5,P_cluster_6,P_cluster_7,max_posterior,entropy_raw,entropy_norm
93711.0,1.575748529990242e-12,0.9999981808059736,7.774728006505914e-10,4.5390465621604825e-12,2.940880752777594e-37,1.1941132538280794e-06,6.242971833634337e-07,0.9999981808059736,2.704021390430496e-05,1.3895921102745804e-05
93717.0,5.937204436464151e-15,0.9920631125882726,0.00793681955092268,1.1502365226206388e-13,6.822217611396021e-18,6.785246412942553e-08,8.220732760954005e-12,0.9920631125882726,0.04629081201279383,0.023788771560324492
93731.0,3.4521298389862935e-07,0.007155609609077818,0.9887510048370861,0.004063745968174566,2.918071366145408e-28,2.9286964740314735e-05,7.407936178177322e-09,0.9887510048370861,0.06921773335987196,0.035570878436229594
93738.0,6.551967423856551e-17,0.999966742242855,3.3256634762711186e-05,1.1220658044311546e-09,1.0527848101970983e-35,3.14112509615469e-13,8.400874109966971e-16,0.999966742242855,0.00037619802056889317,0.00019332753917313558
93755.0,0.9947603496022399,1.2932650650196632e-08,1.0572852350575012e-07,0.00048007404625260156,5.2255186137215236e-23,0.0008413425641752007,0.003918115126159233,0.9947603496022399,0.03656824839701974,0.01879236223459374
93758.0,0.9999999936848809,4.10033047380965e-28,5.539135901605729e-09,2.3785844437212456e-27,7.759799531285848e-10,6.114279308320018e-43,5.080248270132305e-19,0.9999999936848809,1.278997872984361e-07,6.572748868211001e-08
93760.0,0.9999859424730494,1.655985215420992e-12,3.8770881319691326e-17,1.4057491894896678e-05,1.1489671005633898e-26,2.4916584207463844e-42,3.3400816782596574e-11,0.9999859424730494,0.00017111356977173674,8.793497986266619e-05
93763.0,1.561611842778125e-17,0.007724139120296983,0.9922758539804221,6.8992776659422985e-09,3.3854510841745985e-28,5.358352001048597e-16,1.3975288396513746e-15,0.9922758539804221,0.04525998341938322,0.023259030454903438
93766.0,0.999794161956836,3.9416521441349257e-07,2.991975091477281e-05,0.0001755186135940265,1.3216007136878038e-47,5.659810238106185e-17,5.51344126936339e-09,0.999794161956836,0.002041251858912418,0.001048995946654264
93770.0,3.1310836548021514e-09,0.0002508371401856619,0.00019636972042524727,2.9667934846163776e-06,6.682587846734339e-30,0.9995498217537853,1.4610352532029137e-09,0.9995498217537853,0.004243662498732163,0.002180811123675133
93775.0,0.00010096973408186974,4.3173328179280215e-09,4.263187169500121e-12,0.0002718254449042454,4.328477100247381e-40,2.577062232276723e-08,0.9996271747287938,0.9996271747287938,0.003534062705700722,0.0018161489662903573
93776.0,2.903870507196087e-05,1.1525019009275375e-10,2.4258399049478867e-12,1.4268458565758134e-06,5.5877538610679615e-36,8.480425993767524e-09,0.9999695258509678,0.9999695258509678,0.0003532033034642726,0.00018151059216980973
93780.0,0.9999916266570514,5.988264681701066e-07,6.719615546410608e-09,6.20828794046764e-06,2.202111220649703e-13,9.000123442375818e-20,1.559508704203893e-06,0.9999916266570514,0.00011236738285223131,5.774541178418882e-05
93789.0,5.4967586214244794e-11,1.5366779580794977e-05,4.475130999677884e-16,1.4975562729382411e-05,7.101285152224892e-37,4.53481402836723e-09,0.999969653067907,0.999969653067907,0.0003671144447411974,0.0001886595046124928
93801.0,5.537275299465677e-13,0.004388235509026493,0.9953084819072712,0.00030328258313395653,2.1068437073892684e-17,1.358228717437072e-14,4.4856709606823946e-20,0.9953084819072712,0.030960317152297214,0.015910455663807298
