SEQN,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,P_cluster_5,max_posterior,entropy_raw,entropy_norm
93711.0,3.4292592451483303e-13,3.520637233431698e-10,3.333864376691586e-11,0.9999931197455476,6.879868705908874e-06,0.9999931197455476,8.866909526845748e-05,5.509320650608702e-05
93717.0,0.0016494575256927255,9.901116936732947e-11,8.747339642937472e-07,0.9983496333488038,3.429252673358941e-08,0.9983496333488038,0.012230381473815204,0.007599163272672059
93731.0,5.495168853956315e-05,0.0002847698920777711,2.397351163462026e-05,0.9996363036396375,1.2681106245524784e-09,0.9996363036396375,0.003482536789489803,0.0021638217681990875
93738.0,7.676271474049434e-07,3.825638906058451e-11,0.000180979411290499,0.9998182529233051,8.122014648737906e-16,0.9998182529233051,0.0017520622608974538,0.001088617490219085
93755.0,6.53643367069654e-13,0.9999378686959456,1.486253543543128e-06,5.1446055309364686e-08,6.059360380268514e-05,0.9999378686959456,0.0006713811587097611,0.0004171525683114858
93758.0,0.9999999999999787,7.406348488019151e-18,3.0465246148385488e-21,4.911821478703906e-28,2.4095834217124692e-14,0.9999999999999787,8.86272517530129e-13,5.506720766815651e-13
93760.0,2.6157052144883543e-10,0.9999998200274993,1.7954263849538126e-07,4.5146053451859614e-11,1.231458927191107e-10,0.9999998200274993,2.9784386211443683e-06,1.8506079657585567e-06
93763.0,0.005738455066341031,3.780735777973784e-11,7.31579852937958e-10,0.9942615441642707,2.7272053321822453e-15,0.9942615441642707,0.0353356474544129,0.021955272198709155
93766.0,0.004781818343833291,0.9947775820662151,0.0004174070746810603,5.2825218663602035e-06,1.7909993404674436e-05,0.9947775820662151,0.03426567815896729,0.021290462896542663
93770.0,4.87236885541986e-09,2.787724650847617e-06,1.4233245147475133e-06,0.9999891823619841,6.6017164807793375e-06,0.9999891823619841,0.00014447462360088042,8.976713080057759e-05
93775.0,1.5158337240390995e-07,0.013399287192045063,1.6627529954399317e-07,4.622333236511024e-09,0.986600390326949,0.986600390326949,0.07109964207193406,0.04417669145397698
93776.0,4.278849212644198e-07,0.0002763866938847074,7.305514165052819e-11,1.021871153372501e-08,0.999723175129426,0.999723175129426,0.002547883260457332,0.0015830888789017867
93780.0,6.170165693088924e-09,0.9999962936435705,2.092546203207101e-06,6.378941171610948e-07,9.697459438534745e-07,0.9999962936435705,5.371443036264442e-05,3.33746520742805e-05
93789.0,2.6267428975080434e-06,2.0550519645328035e-07,7.848255329081837e-12,2.3736904529320207e-05,0.999973430839529,0.999973430839529,0.00031624830923252195,0.00019649612252157692
93801.0,0.3159408936348568,4.6729229321838794e-05,0.019411506625096657,0.6646008705107235,9.530213403142002e-16,0.6646008705107235,0.7125461474955127,0.4427298139248279
93806.0,1.272387412799558e-07,0.00550813586563915,1.559304675605412e-05,0.9944761438480549,8.083877633779446e-13,0.9944761438480549,0.03433391485097383,0.02133286073710511
93811.0,5.486115086849321e-08,0.1631803720311624,0.0003802462672078251,0.8362650614533989,0.00017426538708035147,0.8362650614533989,0.44986531468441426,0.27951703586007975
93814.0,1.10900539112479e-09,0.09646081760444393,2.1267930807892163e-09,4.289889824436849e-06,0.903534889269934,0.903534889269934,0.31729320669027966,0.1971453538151143
93815.0,2.5064604405186682e-05,0.9985255880142652,7.887558378390346e-13,0.0013543918501911386,9.495553035080456e-05,0.9985255880142652,0.011563297345975714,0.007184680599755153
93823.0,3.602486179972606e-11,0.9999931017901391,9.66151112993771e-08,4.9102204466964075e-06,1.8913382793818918e-06,0.9999931017901391,9.340759011772294e-05,5.803739889316643e-05
93834.0,0.003746418609613701,7.324903047989183e-29,0.9962535813903846,5.631839656354694e-60,7.79912128053502e-70,0.9962535813903846,0.024670463934383886,0.015328621094225676
93837.0,1.4128451695520998e-19,0.9999962444191369,1.6412652716231984e-07,4.2993157475954735e-09,3.5871550187737157e-06,0.9999962444191369,5.137877885803301e-05,3.1923430199508706e-05
93840.0,4.3218236879374463e-07,2.753533728262186e-05,0.0002648249415332361,0.9997068740161824,3.335226344379161e-07,0.9997068740161824,0.002774727712523846,0.0017240352616817453
93843.0,9.225049315266009e-10,8.228546978722897e-10,7.975441792154333e-13,0.0019124138567773242,0.9980875843970656,0.9980875843970656,0.01388116452241628,0.008624852450146724
93847.0,6.310448686101701e-14,0.9985351532462647,0.001464846747750688,5.5553133889201496e-12,3.642956003787898e-13,0.9985351532462647,0.01102337018666149,0.006849204993555693
93866.0,1.1966198158376357e-08,1.1231811909017767e-06,4.4703645895979355e-07,0.9997628502836173,0.00023556753253437408,0.9997628502836173,0.0022270790990483683,0.0013837620462662972
93870.0,9.753147055099058e-11,9.73805053276955e-06,4.67349722174472e-16,9.996270447498841e-08,0.9999901618892325,0.9999901618892325,0.00012382349450671846,7.693586285627437e-05
93875.0,3.8038816044486326e-06,1.1975333546604997e-13,2.204960504468171e-06,0.9999919266098135,2.0645479605368505e-06,0.9999919266098135,0.00011128919974767712,6.914786764241453e-05
93888.0,2.5791531909200017e-08,9.618492088114783e-05,2.1347630741562e-12,0.02047662428738878,0.9794271649980644,0.9794271649980644,0.10087260215934872,0.0626756716615367
93890.0,2.2188405268982353e-07,3.7031389361251334e-06,1.3096021066973016e-06,0.9999655167999341,2.9248574970347e-05,0.9999655167999341,0.0004072801382415608,0.00025305737804174987
93891.0,4.4654602035205947e-10,1.2619235132922509e-05,0.9999873803183218,8.015897579412366e-23,1.1945501489101272e-29,0.9999873803183218,0.00015497782657850943,9.629313773534903e-05
93916.0,7.631895025028411e-06,3.518008774005614e-13,4.2159044740786995e-09,0.9999923563658003,7.522918351925553e-09,0.9999923563658003,9.77935847214396e-05,6.0762570563245534e-05
93926.0,2.4413049824719514e-07,0.9938327239627097,0.005787619913347803,0.0003794119923143581,1.129140121512127e-12,0.9938327239627097,0.038958537342840355,0.024206300250451906
93932.0,2.8538221157384608e-05,0.9998525171470622,4.772290650304254e-06,2.2471889692269785e-06,0.00011192515215997553,0.9998525171470622,0.0015520626908628499,0.0009643507704596839
93950.0,0.0008468660718990673,0.9481028461654243,0.02420302970059972,0.026847190077394154,6.798468162851587e-08,0.9481028461654243,0.24370682789892412,0.15142356596430862
93957.0,3.1764520782351346e-07,0.9999971369412878,1.1540013945039255e-13,1.9243181014557252e-07,2.3529815786810056e-06,0.9999971369412878,4.10856794764673e-05,2.5527967968847998e-05
93964.0,0.0002529484383849984,0.006914247019272621,6.671232979904762e-05,0.9927660922063655,6.1794771705295664e-12,0.9927660922063655,0.04433677664400824,0.027547988214688984
93968.0,1.0,1.9605117095143966e-68,3.065849876890878e-39,1.8736083391822657e-53,2.115201971699374e-59,1.0,1.4259599767814278e-13,8.85998748858114e-14
93972.0,4.562747919026141e-06,0.0006516575762091436,9.230159644411213e-05,0.9992514780750198,4.408766526595378e-12,0.9992514780750198,0.006442430221148096,0.004002906959861918
93982.0,1.3497862725367388e-10,1.8119813699649457e-06,2.0201797599371536e-11,3.0244740210203217e-07,0.9999978854160478,0.9999978854160478,3.0614661171773826e-05,1.902195849572878e-05
93984.0,2.4926610156246853e-11,0.9964381295526172,0.002923378258219495,0.0006170385599435441,2.145360429208236e-05,0.9964381295526172,0.025404367485435723,0.015784621009091535
93998.0,1.013513082238475e-06,0.00020243204588633982,4.6132687552882494e-18,3.540354866376245e-05,0.9997611508923685,0.9997611508923685,0.0023373555431990644,0.0014522806534761367
94012.0,0.01528928034662498,0.21151182602395344,7.550064972647051e-07,0.7627650781303214,0.010433060492603986,0.7627650781303214,0.646671713367409,0.4017997267066912
94013.0,0.0016121664113961686,0.000720469107444072,0.020093925391389145,0.977541416010647,3.202307912449011e-05,0.977541416010647,0.11662918837252965,0.07246578912518635
94015.0,1.0866121318524814e-06,0.0847621804572235,3.803450032266471e-07,0.0023074552278863018,0.9129288973577543,0.9129288973577543,0.3063809298157679,0.1903651749773932
94021.0,3.945703689002206e-15,0.8388611627543694,0.0002114165292600395,2.051866184616618e-09,0.16092741866450153,0.8388611627543694,0.44316783323762077,0.27535565666362205
94038.0,0.0013247447344363697,0.9943536668672475,2.8451863456604423e-05,0.0008795560214143881,0.003413580513446152,0.9943536668672475,0.040284398083431316,0.02503010384694215
94040.0,1.876405809252895e-09,0.00011142676417949822,0.004899969160811047,0.9949886018761803,3.224243272988943e-10,0.9949886018761803,0.032073702314834106,0.01992851172887192
94042.0,4.207507493441e-06,6.832686050856489e-14,1.8551553380115064e-08,0.9999957738675768,7.330888011962191e-11,0.9999957738675768,5.664132539895035e-05,3.519323421012649e-05
94044.0,1.264310174540538e-07,2.3083899311221748e-10,3.5100235564995577e-09,0.04036453652298737,0.9596353333051323,0.9596353333051323,0.16910314558229278,0.1050696918941984
94047.0,1.3556774669044903e-07,0.9985058671178328,0.001493541190406804,4.561240147123234e-07,8.885856571614959e-17,0.9985058671178328,0.01121970267533612,0.0069711932275582705
94050.0,0.00023588680835217105,0.040531294557205264,0.9555029855894419,0.0037033510146360677,2.648203036402013e-05,0.9555029855894419,0.19640493303282322,0.12203324621313416
94067.0,7.290802663512911e-05,0.00023768911762493943,0.9493366706045018,0.05035273162828105,6.229573343933081e-10,0.9493366706045018,0.20252499917534508,0.12583585710929848
94098.0,3.129590931876006e-13,0.9071890502992256,5.84907794935671e-08,1.7328683653122772e-06,0.09280915834131755,0.9071890502992256,0.3090150365501054,0.19200183751279581
94105.0,5.982906626606213e-06,0.9748246760325474,2.1141891593574415e-05,2.9578223242291376e-06,0.02514524134690795,0.9748246760325474,0.11780502085720514,0.07319637492510526
94112.0,0.00027409853394018885,8.189067786510092e-09,7.234137578917405e-06,0.9997169762687672,1.6828706445882036e-06,0.9997169762687672,0.002639300706833038,0.0016398897319632431
94119.0,0.9999994465636423,1.4616878114098807e-11,3.06430520905648e-07,2.46991218815826e-07,1.1880627398312722e-15,0.9999994465636423,8.90743300480929e-06,5.534499303137306e-06
94127.0,2.0620248542467084e-14,0.9861258935773983,7.158536885639419e-10,5.113094073458264e-12,0.013874105701615866,0.9861258935773983,0.07312712109844696,0.045436435002236354
94130.0,6.194841082590542e-06,0.006308093658167121,6.95076284324282e-14,1.4615857504804538e-12,0.9936857114992196,0.9936857114992196,0.03832490753025612,0.023812603912314864
94139.0,0.00011538085756375102,0.9997018753481849,2.5676733690320405e-05,0.00013832136223123617,1.874569832899775e-05,0.9997018753481849,0.003048823477977398,0.001894340536172895
94166.0,1.2244335233849652e-05,3.677091482056925e-10,1.9102268956273337e-05,0.999953397841053,1.525518704880529e-05,0.999953397841053,0.000561846597008836,0.00034909491858502574
94177.0,1.107775433541875e-06,0.6179430488688286,2.7308507938287944e-08,1.761248342085724e-12,0.3820558160454678,0.6179430488688286,0.6650778399478643,0.4132360961610543
94181.0,1.6578401763947678e-13,0.9999509105727581,4.897754889336365e-05,5.106978512532447e-11,1.1182711168938482e-07,0.9999509105727581,0.0005369398479414975,0.0003336194852831783
94187.0,1.9482686509093106e-11,0.993554184803767,6.985990691800351e-07,5.508420890680606e-12,0.006445116572172895,0.993554184803767,0.03894685470859942,0.02419904142167033
94190.0,0.00018087057053257523,1.5694914181328715e-07,6.635296677530347e-07,0.9998183089506539,3.0589474482135186e-15,0.9998183089506539,0.001752266223734373,0.0010887442194550147
94193.0,2.13937873123713e-13,0.0009804494192370463,0.999000883520704,1.866669651468497e-05,3.6332871815701746e-10,0.999000883520704,0.00799394531819843,0.004966917491155937
94208.0,1.1286804765427672e-27,0.01715875817748836,0.9828412418224884,2.347048439376824e-14,2.5290305143576823e-21,0.9828412418224884,0.08676527996548486,0.053910299549400936
94223.0,4.607405902460494e-10,0.999999290606236,6.8516431773122e-11,7.039556493567525e-07,4.90885917001539e-09,0.999999290606236,1.0787442793183156e-05,6.7026150619680124e-06
94247.0,6.2986217310670435e-09,0.0007324664088130687,0.9987430430934532,0.0005244841991120007,5.110404808839996e-22,0.9987430430934532,0.01050550783834443,0.006527439025253225
94250.0,3.629383353709699e-17,0.9999978257315382,2.1741407994377627e-06,8.012029123145717e-11,4.7543181142524285e-11,0.9999978257315382,3.052561328059556e-05,1.8966629930090862e-05
94251.0,1.713939258562603e-06,0.020972823477342802,7.279541876785539e-11,3.571856434263063e-06,0.97902189065417,0.97902189065417,0.10187413007445931,0.06329795594313156
94259.0,2.3828164168461814e-06,4.047758018265631e-06,6.367664666933181e-11,7.453775962090443e-07,0.9999928239842907,0.9999928239842907,9.880758039423146e-05,6.13926014982434e-05
94270.0,3.3289151882553103e-05,0.000518911709850672,9.007620287673854e-06,0.9994386890955481,1.0242243099290667e-07,0.9994386890955481,0.00493560002592337,0.003066660719119516
94274.0,2.0773018694931264e-06,0.9995104873611842,4.1652373118462513e-07,2.8929034425740714e-05,0.00045808977878930313,0.9995104873611842,0.0043470183062424604,0.0027009543348385937
94285.0,1.0,5.9064637782807396e-33,1.482306753407579e-16,1.0865048895625829e-58,9.093929476752164e-120,1.0,1.4259599767814278e-13,8.85998748858114e-14
94290.0,2.0749844804410467e-10,0.9999999634932919,8.652159530677206e-09,3.116481359797474e-13,2.764673718282703e-08,0.9999999634932919,6.829304663103783e-07,4.2432855659372414e-07
94314.0,0.04151725490013825,0.00011481336952459922,3.7298675650323153e-07,0.9583674092976356,1.494459452953937e-07,0.9583674092976356,0.1738963651018518,0.10804788663071346
94319.0,0.0005407929557881846,4.380709655233123e-08,1.4743788228476736e-08,0.9994591467437433,1.7495828732776461e-09,0.9994591467437433,0.00460985133904439,0.002864261680074685
94324.0,7.765748988663929e-09,0.9999829758393243,1.410791126680107e-12,4.0632807345665044e-06,1.2953112780156851e-05,0.9999829758393243,0.00021338527498609316,0.00013258372586946897
94330.0,3.622353103612576e-06,1.6176795496267002e-09,0.9999963760292173,5.641015185277793e-20,5.806173519325934e-29,0.9999963760292173,4.9038950298239155e-05,3.0469612974428485e-05
94337.0,2.355976254247478e-07,4.2776665548087654e-10,0.9999982644981135,1.4994764947314217e-06,3.11257047987591e-38,0.9999982644981135,2.544878820217966e-05,1.5812221152222722e-05
94341.0,0.005549039060818708,2.460573518053163e-06,0.0033805122678369545,0.9910679880951172,2.7103797620751683e-12,0.9910679880951172,0.05698040930955145,0.035403918889530046
94375.0,1.608772786093243e-08,0.0010342352505732888,9.162492514797479e-12,6.667828934321493e-10,0.9989657479857542,0.9989657479857542,0.008143449320324982,0.005059809550533639
94388.0,4.131661739979362e-13,0.9987055489928249,1.2396722899133396e-05,6.620974972921692e-07,0.0012813921863661362,0.9987055489928249,0.009976918350278375,0.006199007910276805
94392.0,5.058710603219038e-06,9.386215041786667e-15,1.9912882407510465e-10,0.9999949410902568,9.322811873883884e-18,0.9999949410902568,6.675128039833774e-05,4.147490243807148e-05
94393.0,0.9999999813321667,9.013926025966792e-18,3.758136796603786e-21,1.866783290382739e-08,1.1934111777291708e-16,0.9999999813321667,3.5088935486709887e-07,2.180198143440133e-07
94443.0,2.9807180248554447e-06,7.527278023139462e-10,4.5839679982785576e-10,0.9999969823591307,3.57117209245341e-08,0.9999969823591307,4.1580390894113754e-05,2.583534945515725e-05
94446.0,6.396745880506138e-09,0.9995567481088765,2.6968913389564426e-06,1.8938973313739387e-07,0.00044035921330497,0.9995567481088765,0.003883849997564356,0.002413171684075998
94453.0,2.5283825274262245e-06,0.9652133385994772,1.5140866244258706e-06,1.1521006397552635e-05,0.034771097924973314,0.9652133385994772,0.15115338116418664,0.09391687619411397
94463.0,1.3057110641866423e-17,0.9987740963264874,0.0012258944225846833,9.240782175334291e-09,1.0145730915366227e-11,0.9987740963264874,0.009443823025642452,0.005867777161630109
94469.0,5.2492216364825375e-27,0.999999987243637,1.2755905763633577e-08,3.707462700154651e-19,4.571896224114233e-13,0.999999987243637,2.4463698637997715e-07,1.5200150592326376e-07
94474.0,3.118939186730956e-09,8.601664743820981e-36,0.9999999968810585,4.396049761873052e-70,2.6375398904533316e-82,0.9999999968810585,6.420588041853941e-08,3.989335650819545e-08
94478.0,2.0032699774565872e-08,0.0024781988775089427,1.0710621997229951e-11,7.488594944737946e-10,0.9975217803302219,0.9975217803302219,0.017345263949590874,0.01077721844103824
94488.0,2.421446294748847e-06,0.09087404677092847,6.080909898460821e-07,0.00029149420378337467,0.9088314294880026,0.9088314294880026,0.30723473550257274,0.1908956742779307
94497.0,3.693751349373816e-11,0.9939243755216071,1.2606280580337702e-08,0.006064929100313277,1.0682734860361441e-05,0.9939243755216071,0.03714251727351622,0.023077943539519457
94509.0,0.9999912914688074,5.366689410302231e-06,3.1078756230042217e-09,1.6879945524525802e-13,3.3387337408892308e-06,0.9999912914688074,0.00011599692371446335,7.207294100524238e-05
94512.0,4.805810208637459e-07,5.721389013715433e-07,0.9999989472800762,9.031468957941483e-26,3.50095566106349e-17,0.9999989472800762,1.62682001133326e-05,1.0108001052820182e-05
94530.0,1.8943520652867937e-14,4.19194339845848e-08,4.256646223164247e-05,0.763297900056682,0.23665949156163363,0.763297900056682,0.547658925848884,0.34027962285330365
94531.0,5.479335683069344e-06,0.99832093171585,4.729042228277058e-07,0.0006195988751566139,0.0010535171690855857,0.99832093171585,0.013550068268937527,0.00841913078115857
94560.0,6.283338657981831e-10,0.00784785809943412,0.9915584055933749,0.0005937356788433543,1.4718432203901126e-14,0.9915584055933749,0.05085939146565793,0.03160071666805625
94565.0,2.281886026253267e-05,0.0005149715873138224,0.9994619171183557,2.902992156448994e-07,2.134851899039203e-09,0.9994619171183557,0.0046852918958517455,0.002911135533501724
94569.0,3.3221398496047547e-09,0.9979593279820848,8.777727145918215e-10,1.5984898212466156e-06,0.0020390693281826444,0.9979593279820848,0.014692574046906045,0.009129009533946618
94577.0,7.32183535657097e-05,8.014516706947472e-05,1.0549848062696482e-08,0.0001231706327397761,0.9997234552967804,0.9997234552967804,0.0028385675929725965,0.001763701209622663
94579.0,0.0007032335313393463,1.6327881228166435e-05,0.0116059757712887,0.9876744627221625,9.398063838947189e-11,0.9876744627221625,0.06925354953144103,0.04302964966613875
94589.0,8.200018755062613e-09,2.9579706583305043e-07,4.430953303560214e-11,0.999999695958607,1.815976611600184e-21,0.999999695958607,4.904667388592729e-06,3.0474411909279254e-06
94596.0,1.548425057691567e-07,2.0615076294023335e-08,1.6958402464088534e-05,0.9999828661345151,5.439840079372124e-12,0.9999828661345151,0.0002062105157897888,0.00012812579733375223
94608.0,2.4961103869519477e-09,1.0812713899181592e-10,2.9102258986780438e-06,0.9999970866965331,4.733321196043069e-10,0.9999970866965331,4.007285175911293e-05,2.4898662725365462e-05
94615.0,3.159037385767579e-05,0.9999133464409278,4.2511032911751375e-05,1.2501828322494912e-05,5.032397980622903e-08,0.9999133464409278,0.0009839021172997904,0.0006113327576655288
94618.0,2.039123039971779e-09,0.00035909244579720344,0.960407996136247,0.03923290937883353,5.473871880851616e-16,0.960407996136247,0.1686915756652443,0.10481396912672238
94624.0,0.9937338924412005,6.489784829799363e-06,1.2512683993324116e-09,0.0062596165172850455,5.4157000606429525e-12,0.9937338924412005,0.03808300039758079,0.02366229855986453
94625.0,1.0062008545517149e-08,4.1853493262426415e-14,6.07678806230528e-05,0.9999344201502912,4.801907033782692e-06,0.9999344201502912,0.0007145314108189311,0.0004439633273819677
94627.0,0.00013639696412120486,1.7941833031380624e-20,0.99986360303588,5.468698485175398e-26,8.261344168949777e-43,0.99986360303588,0.0013503126045419308,0.0008389963937780796
94644.0,1.987651719407371e-09,3.3696107228652676e-11,1.0751554761559692e-14,0.999999752267096,2.4571154650851813e-07,0.999999752267096,4.027881421906613e-06,2.5026634396942217e-06
94651.0,1.9545540977899473e-11,0.9987396574040117,0.0012603425761405066,2.6996917473111504e-14,2.7380726962648647e-13,0.9987396574040117,0.009674064040279968,0.006010833947392848
94664.0,2.120341841784492e-06,8.479186875433906e-09,6.689211833484126e-05,0.6719512405788807,0.3279797384817549,0.6719512405788807,0.633451114426886,0.3935853067291424
94677.0,3.588038192545116e-11,0.9998997253108646,3.4605647519141216e-05,1.4762773844456764e-06,6.41927283505298e-05,0.9998997253108646,0.0010952349405817417,0.0006805077301337568
94686.0,3.8910220333165275e-08,0.999967485589192,4.264926110226091e-08,3.242981503629239e-05,3.03629087292193e-09,0.999967485589192,0.000369169676214099,0.0002293780166118803
94696.0,7.093701380092406e-07,0.0007444944112725834,4.325509240821555e-10,0.0005932780845838485,0.9986615177014555,0.9986615177014555,0.011118053165269079,0.006908034835872748
94713.0,1.1133067186939631e-07,4.309422642484043e-05,3.1918635721920446e-07,4.6557867297791337e-07,0.9999560096778733,0.9999560096778733,0.0004905226014019112,0.0003047788284420671
94726.0,0.9999895510931004,1.044890689880737e-05,7.281568825111284e-16,5.43560282314681e-20,4.692539267413412e-20,0.9999895510931004,0.00013028750343835481,8.095217742280539e-05
94736.0,3.2596217691450346e-07,2.2532099003505057e-16,0.9999996740378235,5.201243927958408e-26,6.623877552606819e-27,0.9999996740378235,5.194691228385341e-06,3.2276431344461956e-06
94766.0,9.168949441913421e-07,5.366815165663619e-08,7.351368055282214e-06,0.9999916778721641,1.9668439932280855e-10,0.9999916778721641,0.00010886960019434947,6.764448591228723e-05
94773.0,2.9231476375288875e-05,0.0008445010081085826,1.664465336003037e-05,0.9991095826249672,4.023718892061961e-08,0.9991095826249672,0.007355373357274216,0.004570150423603488
94775.0,2.660498949162559e-10,0.9981294286640519,1.5217505079937042e-06,1.2183275252934764e-05,0.0018568660441358991,0.9981294286640519,0.013704650750696762,0.008515178277346509
94785.0,1.7444160962764073e-06,4.305543867461174e-12,7.293406696979402e-10,0.999994639571856,3.6152784017779335e-06,0.999994639571856,7.380591584939532e-05,4.585819389439626e-05
94786.0,7.079361006732248e-09,0.9870792568174046,3.553436885341127e-09,6.043019602120555e-07,0.012920128247835722,0.9870792568174046,0.06903499897472946,0.0428938565702864
94812.0,0.00231070556512058,0.015559039640450719,0.00010577658037851075,0.9820244781926258,2.1424486252140978e-11,0.9820244781926258,0.09758178188404787,0.0606309700611352
94844.0,1.9190536357143313e-08,1.5706652945187808e-14,5.141892241011519e-06,0.9999948389167408,4.659855393798209e-13,0.9999948389167408,6.81205008328383e-05,4.232564692713957e-05
94855.0,3.4081915584003407e-23,1.3896664137475247e-23,8.657907677956991e-26,0.9999993111323519,6.888676466677965e-07,0.9999993111323519,1.0462670950265891e-05,6.500822970202209e-06
94879.0,2.1906359261888924e-11,0.9952168426608747,1.8257072074756008e-09,8.833550750345587e-05,0.004694819984006573,0.9952168426608747,0.030766610499842934,0.019116369921540977
94882.0,0.9999999390138915,5.4012442885476586e-08,6.804534961535849e-10,6.2932130108849505e-09,9.097632915280285e-18,0.9999999390138915,1.0980360673392068e-06,6.822481680442996e-07
