matrix_name,K,cluster_id,ref_cluster_size,ref_cluster_proportion,mean_jaccard,median_jaccard,std_jaccard,min_jaccard,max_jaccard,recovery_rate_ge_075,recovery_rate_ge_060
A_LOG,2,0,2259,0.5040160642570282,0.975367366659675,0.9776139759455662,0.014733682877203318,0.9016838674633352,0.9972527472527473,1.0,1.0
A_LOG,2,1,2223,0.4959839357429719,0.9752052039552542,0.9773913971550078,0.01456385175172521,0.905974025974026,0.9971751412429378,1.0,1.0
A_LOG,3,0,1448,0.32307005800981703,0.8653048391452645,0.8938342003468054,0.07962864474809395,0.6986778009742519,0.9840336134453781,0.815,1.0
A_LOG,3,1,1326,0.2958500669344043,0.8506699521573745,0.8831447731541031,0.09359149629959988,0.6539440203562341,0.9866920152091255,0.785,1.0
A_LOG,3,2,1708,0.38107987505577867,0.9281313898208186,0.9367783276233981,0.037453905776802805,0.8239726027397261,0.9912536443148688,1.0,1.0
A_LOG,4,0,1512,0.3373493975903614,0.9525039179246684,0.9616629434838437,0.03308447812596782,0.8300604229607251,0.9894222945484134,1.0,1.0
A_LOG,4,1,921,0.20548862115127176,0.9223885431899135,0.9402511330477432,0.05882253090537159,0.6957964601769911,0.9852348993288591,0.955,1.0
A_LOG,4,2,789,0.17603748326639893,0.9344984409136134,0.9419301550895587,0.0325321515641391,0.8072669826224329,0.9813084112149533,1.0,1.0
A_LOG,4,3,1260,0.28112449799196787,0.939172937456052,0.9507062787533207,0.04371456641249127,0.7504638218923934,0.9930417495029821,1.0,1.0
A_LOG,5,0,1093,0.24386434627398482,0.9236230730684568,0.9476041365088557,0.06175375247170603,0.7285115303983228,0.978865406006674,0.975,1.0
A_LOG,5,1,1107,0.2469879518072289,0.8961645738746866,0.9385845312627379,0.10395028353824243,0.5503292568203199,0.980110497237569,0.875,0.99
A_LOG,5,2,620,0.13833110218652386,0.8944738282307602,0.9022786113721719,0.05284973731777145,0.7480438184663537,0.9757575757575757,0.995,1.0
A_LOG,5,3,720,0.1606425702811245,0.8955257536637498,0.916867669058821,0.06544181955295335,0.689280868385346,0.9726027397260274,0.925,1.0
