matrix_name,K,cluster_id,ref_cluster_size,ref_cluster_proportion,mean_jaccard,median_jaccard,std_jaccard,min_jaccard,max_jaccard,recovery_rate_ge_075,recovery_rate_ge_060
B_RAW,2,0,413,0.4270941054808687,0.8525218445860809,0.9712121212121212,0.2087126210511566,0.32170542635658916,1.0,0.815,0.825
B_RAW,2,1,554,0.5729058945191313,0.873582132552084,0.978593808811711,0.18665268093515822,0.40635451505016723,1.0,0.825,0.83
B_RAW,3,0,365,0.37745604963805585,0.9222406206397761,0.968748492886424,0.08205131882687096,0.650887573964497,1.0,0.985,1.0
B_RAW,3,1,261,0.26990692864529475,0.880733820956614,0.9350260584916226,0.1124095512981768,0.4861111111111111,0.9951219512195122,0.835,0.99
B_RAW,3,2,341,0.35263702171664946,0.9348117442986899,0.9618688871266191,0.06428942290009515,0.6863905325443787,0.9964028776978417,0.98,1.0
B_RAW,4,0,285,0.29472595656670114,0.8605831867370091,0.8745093209772017,0.08223487779822099,0.6893617021276596,1.0,0.875,1.0
B_RAW,4,1,297,0.30713547052740436,0.9049063288806914,0.9081832669322709,0.05256258772735459,0.7104377104377104,0.9915611814345991,0.985,1.0
B_RAW,4,2,147,0.15201654601861428,0.7383982573359404,0.7769322358544288,0.17897075581713018,0.2032520325203252,0.9739130434782609,0.57,0.845
B_RAW,4,3,238,0.24612202688728024,0.7813755305805526,0.8036158330275978,0.12914226789126756,0.43609022556390975,0.972972972972973,0.575,0.935
B_RAW,5,0,37,0.038262668045501554,0.8103420644137436,0.9333333333333333,0.2687834597628608,0.11904761904761904,1.0,0.79,0.82
B_RAW,5,1,222,0.2295760082730093,0.7459625805161043,0.7777217318200924,0.15740831000353983,0.3971119133574007,0.9822485207100592,0.545,0.77
B_RAW,5,2,273,0.2823164426059979,0.8168940415559781,0.862949376375642,0.1334124799198527,0.4524714828897338,0.986046511627907,0.665,0.935
B_RAW,5,3,194,0.20062047569803515,0.6758419901325784,0.7373512798942434,0.2143318734835509,0.2534562211981567,0.958904109589041,0.48,0.595
B_RAW,5,4,241,0.24922440537745605,0.8075395122372424,0.8325686625276228,0.12884495291941608,0.42857142857142855,0.9852216748768473,0.625,0.955
B_RAW,6,0,36,0.03722854188210962,0.8925175618469878,0.9497549019607843,0.1994673579632682,0.10084033613445378,1.0,0.92,0.925
B_RAW,6,1,178,0.18407445708376421,0.622961681280351,0.62750100040016,0.17168067169967968,0.244,0.952054794520548,0.28,0.58
B_RAW,6,2,188,0.19441571871768357,0.65127761951048,0.6784347517550752,0.1654129209611347,0.31007751937984496,0.9671052631578947,0.34,0.635
B_RAW,6,3,99,0.10237849017580145,0.48953336581242624,0.486231884057971,0.1506810713564856,0.2196969696969697,0.9367088607594937,0.06,0.195
B_RAW,6,4,234,0.2419855222337125,0.7275266000296174,0.7345252315585408,0.13819812499436213,0.38257575757575757,0.9680851063829787,0.46,0.795
B_RAW,6,5,232,0.23991726990692863,0.5422284393681297,0.49782608695652175,0.16073444322111863,0.26148409893992935,0.9840425531914894,0.125,0.365
B_RAW,7,0,37,0.038262668045501554,0.8967369411519813,0.92,0.11143225920776119,0.1368421052631579,1.0,0.96,0.97
B_RAW,7,1,158,0.16339193381592554,0.4962504444400586,0.44808257779955896,0.16400438133051298,0.26146788990825687,0.935251798561151,0.1,0.255
B_RAW,7,2,185,0.19131334022750776,0.4916108354405324,0.4605290483360158,0.153653371240461,0.2488479262672811,0.9121621621621622,0.08,0.21
B_RAW,7,3,141,0.14581178903826267,0.5167955443441743,0.5462566844919786,0.20028951672053136,0.20105820105820105,0.944954128440367,0.12,0.405
B_RAW,7,4,147,0.15201654601861428,0.5889821765336728,0.5871428571428572,0.15424028386263697,0.30660377358490565,0.9126984126984127,0.185,0.485
B_RAW,7,5,197,0.20372285418821096,0.6981869917930666,0.7411764705882353,0.15817311521529445,0.36283185840707965,0.9567901234567902,0.475,0.73
B_RAW,7,6,102,0.10548086866597725,0.5548726366581794,0.5409836065573771,0.15202527453915432,0.21782178217821782,0.8928571428571429,0.145,0.375
B_RAW,8,0,130,0.1344364012409514,0.5330137813822603,0.4752141982864137,0.19786304635296534,0.25925925925925924,0.9491525423728814,0.195,0.345
