matrix_name,K,cluster_id,ref_cluster_size,ref_cluster_proportion,mean_jaccard,median_jaccard,std_jaccard,min_jaccard,max_jaccard,recovery_rate_ge_075,recovery_rate_ge_060
B_LOG,2,0,462,0.47776628748707345,0.9162462993462595,0.9491974977658624,0.06633956484062738,0.7593052109181141,1.0,1.0,1.0
B_LOG,2,1,505,0.5222337125129266,0.9249280899838577,0.9537614352962074,0.058341776300323944,0.7915742793791575,1.0,1.0,1.0
B_LOG,3,0,325,0.3360910031023785,0.8563077521224005,0.9536363636363636,0.17490574089261265,0.33962264150943394,1.0,0.79,0.865
B_LOG,3,1,288,0.29782833505687695,0.814541561477606,0.9281155015197569,0.20858456851211005,0.32558139534883723,0.9955357142857143,0.695,0.81
B_LOG,3,2,354,0.36608066184074456,0.8511016290661182,0.9427551020408164,0.17529962030581409,0.3627684964200477,0.9932659932659933,0.735,0.88
B_LOG,4,0,196,0.20268872802481902,0.8111358926318006,0.8086080586080586,0.08895120570607065,0.6089385474860335,0.9822485207100592,0.735,1.0
B_LOG,4,1,260,0.2688728024819028,0.8504852919141379,0.8472772368859438,0.06799993861328374,0.6855895196506551,0.9764150943396226,0.93,1.0
B_LOG,4,2,237,0.2450879007238883,0.8226312732648094,0.8239196901752956,0.08485133757792607,0.6270491803278688,0.9800995024875622,0.765,1.0
B_LOG,4,3,274,0.28335056876938985,0.8740608538869031,0.8785425101214575,0.05994107184088151,0.691304347826087,0.9736842105263158,0.965,1.0
B_LOG,5,0,43,0.04446742502585315,0.5537339764744299,0.8172331544424567,0.3873475834129242,0.07741935483870968,1.0,0.515,0.525
B_LOG,5,1,237,0.2450879007238883,0.8090614797508776,0.8221112729121882,0.11368965469295005,0.4795539033457249,0.9846153846153847,0.675,0.96
B_LOG,5,2,213,0.2202688728024819,0.7214541264587879,0.7700773623135015,0.17973233931167798,0.30985915492957744,0.9659090909090909,0.515,0.69
B_LOG,5,3,226,0.23371251292657705,0.702734239519051,0.715311004784689,0.19494789021049191,0.37398373983739835,0.9777777777777777,0.485,0.6
B_LOG,5,4,248,0.2564632885211996,0.7770771790601699,0.7752250068503257,0.13629540301389798,0.4492753623188406,0.9811320754716981,0.54,0.895
B_LOG,6,0,201,0.2078593588417787,0.6046166652962242,0.5962643678160919,0.1650677259955508,0.2459016393442623,0.9457831325301205,0.215,0.495
B_LOG,6,1,180,0.18614270941054809,0.7326373892075955,0.7742581695254789,0.15202929018222722,0.3448275862068966,0.9657534246575342,0.57,0.77
B_LOG,6,2,199,0.20579110651499483,0.7210999412844332,0.791313559322034,0.16638633298515051,0.29797979797979796,0.9548387096774194,0.58,0.745
B_LOG,6,3,231,0.23888314374353672,0.7742568158206228,0.8118505328620406,0.13230315739045875,0.4223300970873786,0.9797979797979798,0.655,0.88
B_LOG,6,4,115,0.1189245087900724,0.643555699262619,0.6883396226415094,0.19495350488496346,0.225531914893617,0.9690721649484536,0.4,0.635
B_LOG,6,5,41,0.04239917269906929,0.7628570065458439,0.8974358974358975,0.3025463991643688,0.08053691275167785,1.0,0.785,0.81
B_LOG,7,0,130,0.1344364012409514,0.46632122579560714,0.40128562070094986,0.20455481444746454,0.22380952380952382,0.9911504424778761,0.145,0.235
B_LOG,7,1,147,0.15201654601861428,0.6471548323662256,0.6933673469387756,0.20381259445201655,0.1781609195402299,0.9823008849557522,0.385,0.63
B_LOG,7,2,40,0.04136504653567735,0.8687555340239776,0.9166666666666666,0.1930166063595186,0.08661417322834646,1.0,0.92,0.93
B_LOG,7,3,113,0.11685625646328852,0.6977678605843317,0.7671892497200448,0.20099741756168776,0.17587939698492464,1.0,0.52,0.68
B_LOG,7,4,143,0.14788004136504654,0.5606889681968859,0.5205594876980115,0.18424951413088736,0.2824858757062147,0.9914529914529915,0.175,0.365
B_LOG,7,5,182,0.18821096173733196,0.6395542452282119,0.6352201257861635,0.168596801064594,0.32642487046632124,0.9615384615384616,0.31,0.555
B_LOG,7,6,212,0.21923474663908996,0.6746664643056315,0.6631448412698413,0.14108410419128453,0.39603960396039606,0.9704142011834319,0.335,0.685
B_LOG,8,0,137,0.14167528438469493,0.5958130664224717,0.5833806012478729,0.15648572324743948,0.2608695652173913,0.9099099099099099,0.19,0.48
B_LOG,8,1,141,0.14581178903826267,0.5986780286312626,0.5805323708549515,0.16911811828599022,0.27102803738317754,0.9655172413793104,0.2,0.485
B_LOG,8,2,39,0.04033092037228542,0.9170302341089047,0.9411764705882353,0.145656409128793,0.0970873786407767,1.0,0.965,0.97
B_LOG,8,3,111,0.11478800413650465,0.75529713092035,0.8225694444444445,0.17021028595366255,0.2980132450331126,0.967032967032967,0.67,0.805
B_LOG,8,4,144,0.14891416752843847,0.5073150670705906,0.46987951807228917,0.19018361570053482,0.21212121212121213,0.9416666666666667,0.14,0.31
B_LOG,8,5,126,0.13029989658738367,0.577329471700258,0.5553568066277537,0.18193519246622383,0.22424242424242424,0.9809523809523809,0.195,0.445
B_LOG,8,6,147,0.15201654601861428,0.7355857833077011,0.7895341207349081,0.160688551790368,0.2631578947368421,0.9333333333333333,0.61,0.83
B_LOG,8,7,122,0.12616339193381593,0.6274797112332139,0.6216296826533048,0.17198113884701918,0.25136612021857924,0.9514563106796117,0.255,0.55
B_LOG,9,0,116,0.11995863495346432,0.49961739162217816,0.522513440860215,0.10992930720452662,0.1651376146788991,0.6747967479674797,0.0,0.18
B_LOG,9,1,111,0.11478800413650465,0.5518921157391748,0.540994623655914,0.14403614564821057,0.28169014084507044,0.8736842105263158,0.065,0.41
B_LOG,9,2,109,0.11271975180972078,0.5869884332156436,0.6010204081632653,0.16183500445559001,0.2127659574468085,0.898989898989899,0.16,0.51
B_LOG,9,3,94,0.09720785935884178,0.684905083578231,0.7556847545219638,0.17311322581766042,0.26356589147286824,0.9452054794520548,0.515,0.7
B_LOG,9,4,37,0.038262668045501554,0.9211081132083152,0.9321839080459771,0.07157436247814684,0.10666666666666667,1.0,0.995,0.995
B_LOG,9,5,83,0.08583247156153051,0.4584240698431277,0.3992018082927174,0.19542583325180826,0.12949640287769784,0.9154929577464789,0.145,0.25
B_LOG,9,6,131,0.13547052740434332,0.6341973422989766,0.6423661071143085,0.165719147771527,0.2786885245901639,0.9369369369369369,0.275,0.585
B_LOG,9,7,141,0.14581178903826267,0.5261860424570893,0.5366071428571428,0.15856195979251242,0.225130890052356,0.8879310344827587,0.105,0.325
B_LOG,9,8,145,0.1499482936918304,0.4292846703996495,0.43599790034119457,0.12866553038053852,0.17751479289940827,0.7727272727272727,0.005,0.105
B_LOG,10,0,123,0.12719751809720786,0.6041329510098008,0.6318272095332671,0.15692768403989638,0.2708333333333333,0.9320388349514563,0.21,0.56
B_LOG,10,1,39,0.04033092037228542,0.9298868256339796,0.9375,0.07152460852262704,0.13114754098360656,1.0,0.995,0.995
B_LOG,10,2,81,0.08376421923474664,0.6585230051431745,0.7151675485008818,0.1559624477583868,0.20909090909090908,0.9365079365079365,0.355,0.71
B_LOG,10,3,56,0.057911065149948295,0.3897048420504408,0.3594627808988764,0.22976624037785603,0.10227272727272728,0.8541666666666666,0.09,0.235
B_LOG,10,4,113,0.11685625646328852,0.49622659027931304,0.5001394233450449,0.1412028404245954,0.20454545454545456,0.7927927927927928,0.035,0.225
B_LOG,10,5,98,0.10134436401240951,0.4374392448377567,0.40222626879699247,0.15473808140070872,0.2109375,0.8953488372093024,0.025,0.2
B_LOG,10,6,114,0.11789038262668046,0.5996991790728015,0.6124860956618465,0.1140934101195651,0.2229299363057325,0.865979381443299,0.09,0.57
B_LOG,10,7,139,0.1437435367114788,0.6202233558604462,0.615378421900161,0.1389834343955544,0.29012345679012347,0.9130434782608695,0.225,0.545
B_LOG,10,8,77,0.0796277145811789,0.5413867853845552,0.56125,0.17945317614648099,0.18947368421052632,0.8857142857142857,0.14,0.435
B_LOG,10,9,127,0.1313340227507756,0.45445515642784623,0.4377492877492878,0.11789216980566283,0.24822695035460993,0.7719298245614035,0.01,0.14
