SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
95471.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95472.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95473.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95474.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95479.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95480.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95484.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95486.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95488.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95493.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95495.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95499.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95501.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95503.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95504.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95505.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95506.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95508.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95509.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95510.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95514.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95515.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95519.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95522.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95524.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95525.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95531.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95533.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95534.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95535.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95537.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95539.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95540.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95541.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95542.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95544.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95547.0,0,0,3,1,0,6,0,0,2,0,0,0,0,0,0,2,2,0
95548.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95549.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95550.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95553.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95556.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95557.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95559.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95561.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95563.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95565.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
95566.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95568.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95569.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95571.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95572.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95573.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95574.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95576.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95577.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95578.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95581.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95583.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95586.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95587.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95588.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95589.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95590.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95591.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95593.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95594.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95595.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95597.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95598.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95599.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95601.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
95602.0,0,0,3,1,0,3,0,0,3,3,3,3,0,0,0,2,2,0
95607.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95609.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95610.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
95611.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95615.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
95622.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95625.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95626.0,0,2,2,2,5,5,0,2,0,2,2,2,0,2,2,0,0,2
95630.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95633.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95636.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95637.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
95639.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95641.0,0,0,0,3,3,1,0,2,0,2,2,2,0,0,0,2,2,0
95643.0,0,0,3,1,0,6,0,0,2,0,0,0,0,0,0,2,2,0
95644.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95645.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95648.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95649.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
95652.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95654.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95655.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95656.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95657.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95658.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95662.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95663.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95664.0,0,0,3,1,0,6,0,0,2,0,0,0,0,0,0,2,2,0
95665.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95666.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95668.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95669.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95671.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95672.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95673.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95674.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95675.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95676.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95678.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95680.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95684.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95685.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95687.0,0,0,0,3,3,1,0,2,0,2,2,2,0,0,0,2,2,0
95689.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95690.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
95694.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95699.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95700.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95703.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95704.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95708.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95710.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95711.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95713.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95714.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95716.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95718.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
95719.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95720.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
95722.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95723.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
95725.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
95726.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
