SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
97465.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
97468.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97485.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97487.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
97492.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97497.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97501.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
97533.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97550.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97560.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
97572.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
97577.0,1,0,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0
97578.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97580.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97585.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97595.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97598.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
97620.0,1,0,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0
97624.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97638.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97640.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
97643.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
97648.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
97659.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
97685.0,1,0,0,3,1,1,0,0,1,0,2,6,0,0,0,0,0,0
97688.0,1,0,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0
97691.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
97692.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
97695.0,1,0,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0
97699.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
97703.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
97704.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
97706.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
97735.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
97737.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97741.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
97747.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
97768.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
97774.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
